structure, operation, time(ns)
bst, put, 380656
bst, delete, 421018
avl, put, 42989869
avl, delete, 10974557
splay, put, 640555
splay, delete, 814961
veb, put, 5627112
veb, delete, 28862
bst, put, 311508
bst, delete, 344830
avl, put, 45226589
avl, delete, 22567049
splay, put, 779731
splay, delete, 921203
veb, put, 6062950
veb, delete, 22154
bst, put, 294402
bst, delete, 412407
avl, put, 40968975
avl, delete, 17180635
splay, put, 787567
splay, delete, 856180
veb, put, 5991949
veb, delete, 19074
bst, put, 294815
bst, delete, 475864
avl, put, 43944579
avl, delete, 9324276
splay, put, 774296
splay, delete, 969951
veb, put, 6101183
veb, delete, 21600
bst, put, 309509
bst, delete, 349448
avl, put, 39346940
avl, delete, 14768063
splay, put, 710067
splay, delete, 877213
veb, put, 5478709
veb, delete, 16763
bst, put, 3401328
bst, delete, 391013
avl, put, 40863319
avl, delete, 14598992
splay, put, 746711
splay, delete, 765920
veb, put, 5388196
veb, delete, 19479
bst, put, 274445
bst, delete, 399533
avl, put, 37663440
avl, delete, 14168413
splay, put, 617797
splay, delete, 790995
veb, put, 5286946
veb, delete, 19147
bst, put, 318007
bst, delete, 383086
avl, put, 39369093
avl, delete, 13224835
splay, put, 644523
splay, delete, 777622
veb, put, 5272750
veb, delete, 19526
bst, put, 252815
bst, delete, 322510
avl, put, 36940403
avl, delete, 14097886
splay, put, 763454
splay, delete, 908482
veb, put, 5262469
veb, delete, 29476
bst, put, 311610
bst, delete, 370249
avl, put, 38307645
avl, delete, 8426725
splay, put, 745174
splay, delete, 914600
veb, put, 5268064
veb, delete, 24907
bst, put, 281017
bst, delete, 275967
avl, put, 38460883
avl, delete, 14690751
splay, put, 734791
splay, delete, 845435
veb, put, 5433772
veb, delete, 18870
bst, put, 261239
bst, delete, 384507
avl, put, 37462812
avl, delete, 8723989
splay, put, 623837
splay, delete, 776931
veb, put, 5361200
veb, delete, 26085
bst, put, 299415
bst, delete, 171087
avl, put, 40389678
avl, delete, 11493359
splay, put, 653602
splay, delete, 934350
veb, put, 5284382
veb, delete, 25024
bst, put, 269976
bst, delete, 273899
avl, put, 39690219
avl, delete, 17808802
splay, put, 644717
splay, delete, 849815
veb, put, 5934235
veb, delete, 25172
bst, put, 340518
bst, delete, 401739
avl, put, 43001507
avl, delete, 20226518
splay, put, 724638
splay, delete, 919244
veb, put, 6106721
veb, delete, 27325
bst, put, 329961
bst, delete, 460340
avl, put, 41228522
avl, delete, 8006255
splay, put, 635224
splay, delete, 769007
veb, put, 5673090
veb, delete, 35611
bst, put, 317465
bst, delete, 181269
avl, put, 39436706
avl, delete, 14254827
splay, put, 620521
splay, delete, 851560
veb, put, 5689835
veb, delete, 21713
bst, put, 289553
bst, delete, 303443
avl, put, 38985993
avl, delete, 15138205
splay, put, 629078
splay, delete, 769884
veb, put, 5638182
veb, delete, 16188
bst, put, 274046
bst, delete, 470494
avl, put, 43030227
avl, delete, 16410515
splay, put, 632375
splay, delete, 887448
veb, put, 5764141
veb, delete, 22329
bst, put, 314826
bst, delete, 380664
avl, put, 40184439
avl, delete, 13592683
splay, put, 707728
splay, delete, 776198
veb, put, 6014232
veb, delete, 18836
bst, put, 301332
bst, delete, 349283
avl, put, 42755175
avl, delete, 11811478
splay, put, 745194
splay, delete, 813207
veb, put, 6127098
veb, delete, 32489
bst, put, 262573
bst, delete, 315298
avl, put, 39286727
avl, delete, 11071530
splay, put, 689501
splay, delete, 880126
veb, put, 5670749
veb, delete, 27325
bst, put, 349865
bst, delete, 434849
avl, put, 41676314
avl, delete, 10694880
splay, put, 766329
splay, delete, 936149
veb, put, 5866529
veb, delete, 28458
bst, put, 329277
bst, delete, 402307
avl, put, 39139687
avl, delete, 8335106
splay, put, 722981
splay, delete, 896693
veb, put, 5609406
veb, delete, 16431
bst, put, 260707
bst, delete, 174148
avl, put, 41849724
avl, delete, 19045051
splay, put, 777008
splay, delete, 945582
veb, put, 6057167
veb, delete, 35375
bst, put, 348415
bst, delete, 349308
avl, put, 40940070
avl, delete, 18101650
splay, put, 754740
splay, delete, 942430
veb, put, 6295885
veb, delete, 29367
bst, put, 336125
bst, delete, 409274
avl, put, 42698016
avl, delete, 15456597
splay, put, 775176
splay, delete, 897191
veb, put, 6160953
veb, delete, 21309
bst, put, 286500
bst, delete, 368287
avl, put, 41623949
avl, delete, 13519378
splay, put, 721624
splay, delete, 831189
veb, put, 5695119
veb, delete, 33524
bst, put, 316368
bst, delete, 402323
avl, put, 40213990
avl, delete, 12908367
splay, put, 644536
splay, delete, 770198
veb, put, 5708842
veb, delete, 22340
bst, put, 310830
bst, delete, 471396
avl, put, 39228504
avl, delete, 12279499
splay, put, 639271
splay, delete, 785387
veb, put, 5485074
veb, delete, 28436
bst, put, 288754
bst, delete, 364309
avl, put, 40799999
avl, delete, 13675273
splay, put, 717877
splay, delete, 916398
veb, put, 5634383
veb, delete, 24829
bst, put, 259088
bst, delete, 283498
avl, put, 39475564
avl, delete, 13010856
splay, put, 750409
splay, delete, 936386
veb, put, 5526905
veb, delete, 29412
bst, put, 295212
bst, delete, 304709
avl, put, 40436042
avl, delete, 13320259
splay, put, 746567
splay, delete, 840336
veb, put, 5456790
veb, delete, 23957
bst, put, 253724
bst, delete, 257603
avl, put, 40264420
avl, delete, 10069711
splay, put, 749858
splay, delete, 895833
veb, put, 5725979
veb, delete, 20310
bst, put, 265783
bst, delete, 208425
avl, put, 38595068
avl, delete, 16125809
splay, put, 749220
splay, delete, 958271
veb, put, 6302421
veb, delete, 28614
bst, put, 357458
bst, delete, 304611
avl, put, 39080296
avl, delete, 11148313
splay, put, 630846
splay, delete, 906479
veb, put, 5312582
veb, delete, 29271
bst, put, 251471
bst, delete, 300671
avl, put, 36972033
avl, delete, 14562307
splay, put, 640531
splay, delete, 915497
veb, put, 5266700
veb, delete, 26989
bst, put, 272693
bst, delete, 454696
avl, put, 39049211
avl, delete, 12105083
splay, put, 720071
splay, delete, 790361
veb, put, 5449859
veb, delete, 16161
bst, put, 296470
bst, delete, 355311
avl, put, 38621790
avl, delete, 15853961
splay, put, 748949
splay, delete, 810869
veb, put, 5265598
veb, delete, 27466
bst, put, 291647
bst, delete, 391922
avl, put, 39082370
avl, delete, 13825901
splay, put, 631836
splay, delete, 777083
veb, put, 5316158
veb, delete, 26828
bst, put, 300757
bst, delete, 462243
avl, put, 38388190
avl, delete, 12864518
splay, put, 740674
splay, delete, 906896
veb, put, 5385573
veb, delete, 18900
bst, put, 259619
bst, delete, 215851
avl, put, 37986103
avl, delete, 13539359
splay, put, 659884
splay, delete, 857704
veb, put, 5389902
veb, delete, 15993
bst, put, 305324
bst, delete, 247005
avl, put, 38549025
