structure, size, time(ns)
avl, 2^6, 51527
avl, 2^7, 71088
avl, 2^8, 80479
avl, 2^9, 92458
splay, 2^6, 295612
splay, 2^7, 345711
splay, 2^8, 393665
splay, 2^9, 426909
veb, 2^6, 1715826
veb, 2^7, 1523623
veb, 2^8, 1733522
veb, 2^9, 1696351
bst, 2^6, 56677
bst, 2^7, 65425
bst, 2^8, 76221
bst, 2^9, 87244
avl, 2^6, 52020
avl, 2^7, 59526
avl, 2^8, 80595
avl, 2^9, 77580
splay, 2^6, 249164
splay, 2^7, 292828
splay, 2^8, 374594
splay, 2^9, 416403
veb, 2^6, 1506642
veb, 2^7, 1543821
veb, 2^8, 1597016
veb, 2^9, 1927932
bst, 2^6, 67349
bst, 2^7, 77584
bst, 2^8, 90644
bst, 2^9, 104000
avl, 2^6, 64250
avl, 2^7, 56490
avl, 2^8, 64449
avl, 2^9, 76678
splay, 2^6, 253349
splay, 2^7, 292331
splay, 2^8, 331615
splay, 2^9, 346944
veb, 2^6, 1551695
veb, 2^7, 1671159
veb, 2^8, 1757599
veb, 2^9, 1765319
bst, 2^6, 56742
bst, 2^7, 72139
bst, 2^8, 74086
bst, 2^9, 87330
avl, 2^6, 50297
avl, 2^7, 56631
avl, 2^8, 65124
avl, 2^9, 95202
splay, 2^6, 299419
splay, 2^7, 292049
splay, 2^8, 331474
splay, 2^9, 354629
veb, 2^6, 1583832
veb, 2^7, 1639592
veb, 2^8, 1694313
veb, 2^9, 1858520
bst, 2^6, 56624
bst, 2^7, 67794
bst, 2^8, 90314
bst, 2^9, 103694
avl, 2^6, 59794
avl, 2^7, 67928
avl, 2^8, 64495
avl, 2^9, 90788
splay, 2^6, 295322
splay, 2^7, 346534
splay, 2^8, 347903
splay, 2^9, 358195
veb, 2^6, 1444464
veb, 2^7, 1525841
veb, 2^8, 1758858
veb, 2^9, 1857693
bst, 2^6, 56608
bst, 2^7, 65433
bst, 2^8, 75709
bst, 2^9, 87573
avl, 2^6, 50060
avl, 2^7, 57156
avl, 2^8, 63969
avl, 2^9, 90906
splay, 2^6, 296905
splay, 2^7, 311977
splay, 2^8, 375535
splay, 2^9, 412322
veb, 2^6, 1615956
veb, 2^7, 1503082
veb, 2^8, 1729074
veb, 2^9, 1725246
bst, 2^6, 67154
bst, 2^7, 78034
bst, 2^8, 90149
bst, 2^9, 103537
avl, 2^6, 59444
avl, 2^7, 76158
avl, 2^8, 77687
avl, 2^9, 75851
splay, 2^6, 249155
splay, 2^7, 288307
splay, 2^8, 368295
splay, 2^9, 442566
veb, 2^6, 1732768
veb, 2^7, 1789601
veb, 2^8, 1892909
veb, 2^9, 2668096
bst, 2^6, 67870
bst, 2^7, 77770
bst, 2^8, 90475
bst, 2^9, 103789
avl, 2^6, 59805
avl, 2^7, 67672
avl, 2^8, 76491
avl, 2^9, 90896
splay, 2^6, 299054
splay, 2^7, 348539
splay, 2^8, 395520
splay, 2^9, 425600
veb, 2^6, 1737040
veb, 2^7, 1867271
veb, 2^8, 1838273
veb, 2^9, 1917463
bst, 2^6, 54221
bst, 2^7, 62096
bst, 2^8, 72326
bst, 2^9, 83516
avl, 2^6, 51504
avl, 2^7, 58991
avl, 2^8, 74410
avl, 2^9, 77124
splay, 2^6, 252861
splay, 2^7, 293091
splay, 2^8, 330685
splay, 2^9, 350850
veb, 2^6, 1625630
veb, 2^7, 1724748
veb, 2^8, 1589757
veb, 2^9, 1905348
bst, 2^6, 53037
bst, 2^7, 62062
bst, 2^8, 72127
bst, 2^9, 83021
avl, 2^6, 51564
avl, 2^7, 79625
avl, 2^8, 78603
avl, 2^9, 91869
splay, 2^6, 292667
splay, 2^7, 359745
splay, 2^8, 398862
splay, 2^9, 382360
veb, 2^6, 1529862
veb, 2^7, 1748558
veb, 2^8, 1805281
