structure, size, time(ns)
bst, 2^8, 6254511
bst, 2^9, 557196
bst, 2^10, 585520
bst, 2^11, 504851
avl, 2^8, 5155671
avl, 2^9, 2006350
avl, 2^10, 1119422
avl, 2^11, 121362
splay, 2^8, 16369246
splay, 2^9, 18524582
splay, 2^10, 17549814
splay, 2^11, 12472091
veb, 2^8, 11119108
veb, 2^9, 12058143
veb, 2^10, 5408502
veb, 2^11, 4871479
bst, 2^8, 562470
bst, 2^9, 552845
bst, 2^10, 589381
bst, 2^11, 497113
avl, 2^8, 531686
avl, 2^9, 525230
avl, 2^10, 532581
avl, 2^11, 538408
splay, 2^8, 953063
splay, 2^9, 970611
splay, 2^10, 876022
splay, 2^11, 809120
veb, 2^8, 2181394
veb, 2^9, 2280961
veb, 2^10, 2365556
veb, 2^11, 2364499
bst, 2^8, 100817
bst, 2^9, 108272
bst, 2^10, 126000
bst, 2^11, 138012
avl, 2^8, 522570
avl, 2^9, 530852
avl, 2^10, 570593
avl, 2^11, 119547
splay, 2^8, 897077
splay, 2^9, 839726
splay, 2^10, 900279
splay, 2^11, 369569
veb, 2^8, 1444593
veb, 2^9, 1650319
veb, 2^10, 1930484
veb, 2^11, 1816016
bst, 2^8, 95103
bst, 2^9, 107499
bst, 2^10, 124435
bst, 2^11, 137040
avl, 2^8, 84176
avl, 2^9, 99684
avl, 2^10, 95217
avl, 2^11, 130358
splay, 2^8, 375920
splay, 2^9, 417907
splay, 2^10, 434090
splay, 2^11, 405034
veb, 2^8, 1609080
veb, 2^9, 1776342
veb, 2^10, 1714427
veb, 2^11, 1682168
bst, 2^8, 80409
bst, 2^9, 115336
bst, 2^10, 126145
bst, 2^11, 115681
avl, 2^8, 71251
avl, 2^9, 109608
avl, 2^10, 95488
avl, 2^11, 122281
splay, 2^8, 439871
splay, 2^9, 495913
splay, 2^10, 515885
splay, 2^11, 404231
veb, 2^8, 1704086
veb, 2^9, 1767561
veb, 2^10, 1786183
veb, 2^11, 1641290
bst, 2^8, 93649
bst, 2^9, 91878
bst, 2^10, 104723
bst, 2^11, 136611
avl, 2^8, 72965
avl, 2^9, 83322
avl, 2^10, 112647
avl, 2^11, 119330
splay, 2^8, 565145
splay, 2^9, 415296
splay, 2^10, 427009
splay, 2^11, 372189
veb, 2^8, 1565219
veb, 2^9, 1754561
veb, 2^10, 1551550
veb, 2^11, 1692079
bst, 2^8, 78787
bst, 2^9, 90388
bst, 2^10, 102517
bst, 2^11, 132303
avl, 2^8, 90849
avl, 2^9, 83500
avl, 2^10, 96053
avl, 2^11, 125476
splay, 2^8, 435643
splay, 2^9, 418248
splay, 2^10, 434440
splay, 2^11, 340023
veb, 2^8, 1574105
veb, 2^9, 1562228
veb, 2^10, 1802763
veb, 2^11, 1835406
bst, 2^8, 98064
bst, 2^9, 117030
bst, 2^10, 132183
bst, 2^11, 144343
avl, 2^8, 95273
avl, 2^9, 99481
avl, 2^10, 163676
avl, 2^11, 108085
splay, 2^8, 372795
splay, 2^9, 505543
splay, 2^10, 517253
splay, 2^11, 339227
veb, 2^8, 1664629
veb, 2^9, 1770808
veb, 2^10, 1724862
veb, 2^11, 1518883
bst, 2^8, 80058
bst, 2^9, 92915
bst, 2^10, 104443
bst, 2^11, 113222
avl, 2^8, 91460
avl, 2^9, 84685
avl, 2^10, 93581
avl, 2^11, 100529
splay, 2^8, 437753
splay, 2^9, 418421
splay, 2^10, 526603
splay, 2^11, 340961
veb, 2^8, 1600308
veb, 2^9, 1653568
veb, 2^10, 1790346
veb, 2^11, 1680407
bst, 2^8, 79716
bst, 2^9, 91769
bst, 2^10, 133061
bst, 2^11, 135734
avl, 2^8, 71504
avl, 2^9, 83712
avl, 2^10, 111920
avl, 2^11, 101872
splay, 2^8, 447107
splay, 2^9, 498360
splay, 2^10, 433119
splay, 2^11, 347949
veb, 2^8, 1703397
veb, 2^9, 1519984
veb, 2^10, 1625733
veb, 2^11, 1542342
bst, 2^8, 103144
bst, 2^9, 119268
bst, 2^10, 134174
bst, 2^11, 134417
avl, 2^8, 80602
avl, 2^9, 99302
avl, 2^10, 111183
avl, 2^11, 100173
splay, 2^8, 376259
splay, 2^9, 493393
splay, 2^10, 536100
splay, 2^11, 339563
veb, 2^8, 1549927
veb, 2^9, 1749406
veb, 2^10, 1752746
veb, 2^11, 1698496
bst, 2^8, 95420
bst, 2^9, 115666
bst, 2^10, 125259
bst, 2^11, 137517
avl, 2^8, 84045
avl, 2^9, 98958
avl, 2^10, 112318
avl, 2^11, 142357
splay, 2^8, 497277
splay, 2^9, 560902
splay, 2^10, 517472
splay, 2^11, 409415
veb, 2^8, 1747662
veb, 2^9, 1848804
veb, 2^10, 1775607
veb, 2^11, 1924335
bst, 2^8, 98205
bst, 2^9, 109175
bst, 2^10, 123594
bst, 2^11, 136741
avl, 2^8, 84396
avl, 2^9, 100741
avl, 2^10, 120793
avl, 2^11, 156391
splay, 2^8, 449346
splay, 2^9, 482881
splay, 2^10, 513980
splay, 2^11, 429097
veb, 2^8, 1612138
veb, 2^9, 1787390
veb, 2^10, 1624844
veb, 2^11, 1825095
bst, 2^8, 94665
bst, 2^9, 107486
bst, 2^10, 131587
bst, 2^11, 137581
avl, 2^8, 84560
avl, 2^9, 103111
avl, 2^10, 145705
avl, 2^11, 149895
splay, 2^8, 439574
splay, 2^9, 499206
splay, 2^10, 518743
splay, 2^11, 403528
veb, 2^8, 1720636
veb, 2^9, 1766128
veb, 2^10, 1943316
veb, 2^11, 1821344
bst, 2^8, 95683
bst, 2^9, 114779
bst, 2^10, 141367
bst, 2^11, 145595
avl, 2^8, 85007
avl, 2^9, 99172
avl, 2^10, 113674
avl, 2^11, 134359
splay, 2^8, 387592
splay, 2^9, 504172
splay, 2^10, 440523
splay, 2^11, 388560
veb, 2^8, 1761739
veb, 2^9, 1813271
veb, 2^10, 1860524
veb, 2^11, 1879823
bst, 2^8, 94265
bst, 2^9, 107506
bst, 2^10, 124656
bst, 2^11, 134563
avl, 2^8, 84542
avl, 2^9, 98517
avl, 2^10, 94364
avl, 2^11, 166233
splay, 2^8, 540542
splay, 2^9, 605216
splay, 2^10, 660424
splay, 2^11, 404909
veb, 2^8, 1700438
veb, 2^9, 1767005
veb, 2^10, 1928115
veb, 2^11, 1792318
bst, 2^8, 94826
bst, 2^9, 107530
bst, 2^10, 123465
bst, 2^11, 137266
avl, 2^8, 83919
avl, 2^9, 98525
avl, 2^10, 143003
avl, 2^11, 119101
splay, 2^8, 441646
splay, 2^9, 508384
splay, 2^10, 528014
splay, 2^11, 403661
veb, 2^8, 1728867
veb, 2^9, 1754196
veb, 2^10, 1931969
veb, 2^11, 1847615
bst, 2^8, 94257
bst, 2^9, 107099
bst, 2^10, 125543
bst, 2^11, 134717
avl, 2^8, 83795
avl, 2^9, 110036
avl, 2^10, 127533
avl, 2^11, 152317
splay, 2^8, 444244
splay, 2^9, 497145
splay, 2^10, 514195
splay, 2^11, 530391
veb, 2^8, 1735045
veb, 2^9, 1777470
veb, 2^10, 1853414
veb, 2^11, 1860534
bst, 2^8, 101775
bst, 2^9, 115642
bst, 2^10, 135674
bst, 2^11, 136918
avl, 2^8, 85066
avl, 2^9, 105348
avl, 2^10, 114974
avl, 2^11, 120143
splay, 2^8, 445269
splay, 2^9, 497167
splay, 2^10, 524312
splay, 2^11, 495914
veb, 2^8, 1698665
veb, 2^9, 1763159
veb, 2^10, 1788422
veb, 2^11, 1974334
bst, 2^8, 101021
bst, 2^9, 116175
bst, 2^10, 124418
bst, 2^11, 137253
avl, 2^8, 94896
avl, 2^9, 100284
avl, 2^10, 145614
avl, 2^11, 148815
splay, 2^8, 442722
splay, 2^9, 494664
splay, 2^10, 473155
splay, 2^11, 402650
veb, 2^8, 1708645
veb, 2^9, 1649374
veb, 2^10, 1943582
veb, 2^11, 1835228
bst, 2^8, 94028
bst, 2^9, 112492
bst, 2^10, 124371
bst, 2^11, 136246
avl, 2^8, 84994
avl, 2^9, 121159
avl, 2^10, 112189
avl, 2^11, 139757
splay, 2^8, 433185
splay, 2^9, 484242
splay, 2^10, 509556
splay, 2^11, 400492
veb, 2^8, 1654059
veb, 2^9, 1847724
veb, 2^10, 1853890
veb, 2^11, 1903802
bst, 2^8, 94337
bst, 2^9, 107177
bst, 2^10, 123810
bst, 2^11, 133861
avl, 2^8, 84968
avl, 2^9, 98953
avl, 2^10, 113651
avl, 2^11, 102700
splay, 2^8, 452316
splay, 2^9, 460924
splay, 2^10, 472215
splay, 2^11, 415983
veb, 2^8, 1699478
veb, 2^9, 1766785
veb, 2^10, 1836421
veb, 2^11, 1797113
bst, 2^8, 93806
bst, 2^9, 108612
bst, 2^10, 142835
bst, 2^11, 142361
avl, 2^8, 84697
avl, 2^9, 100594
avl, 2^10, 114914
avl, 2^11, 121489
splay, 2^8, 458481
splay, 2^9, 495666
splay, 2^10, 525365
splay, 2^11, 404642
veb, 2^8, 1717656
veb, 2^9, 1784308
veb, 2^10, 1842875
veb, 2^11, 1807606
bst, 2^8, 103810
bst, 2^9, 112537
bst, 2^10, 105001
bst, 2^11, 145923
avl, 2^8, 71110
avl, 2^9, 100018
avl, 2^10, 117465
avl, 2^11, 127156
splay, 2^8, 440435
splay, 2^9, 498221
splay, 2^10, 514098
splay, 2^11, 402415
veb, 2^8, 1725050
veb, 2^9, 1753603
veb, 2^10, 1842578
veb, 2^11, 1819024
bst, 2^8, 106546
bst, 2^9, 108777
bst, 2^10, 126883
bst, 2^11, 144927
avl, 2^8, 83871
avl, 2^9, 103849
avl, 2^10, 114889
avl, 2^11, 136852
splay, 2^8, 443084
splay, 2^9, 503768
splay, 2^10, 527690
splay, 2^11, 413554
veb, 2^8, 1735169
veb, 2^9, 1773348
veb, 2^10, 1841674
veb, 2^11, 1795568
bst, 2^8, 94769
bst, 2^9, 106696
bst, 2^10, 123493
bst, 2^11, 152502
avl, 2^8, 84174
avl, 2^9, 103422
avl, 2^10, 112213
avl, 2^11, 126261
splay, 2^8, 441469
splay, 2^9, 491687
splay, 2^10, 517620
splay, 2^11, 403247
veb, 2^8, 1710112
veb, 2^9, 1762805
veb, 2^10, 1841810
veb, 2^11, 1619647
bst, 2^8, 82036
bst, 2^9, 108020
bst, 2^10, 124324
bst, 2^11, 142671
avl, 2^8, 84341
avl, 2^9, 98487
avl, 2^10, 112169
avl, 2^11, 162334
splay, 2^8, 585918
splay, 2^9, 642522
splay, 2^10, 669314
splay, 2^11, 432008
veb, 2^8, 1519799
veb, 2^9, 1762887
veb, 2^10, 1789427
veb, 2^11, 1794619
bst, 2^8, 100280
bst, 2^9, 110917
bst, 2^10, 123275
bst, 2^11, 138011
avl, 2^8, 84276
avl, 2^9, 97799
avl, 2^10, 112537
avl, 2^11, 120949
splay, 2^8, 449861
splay, 2^9, 499259
splay, 2^10, 514172
splay, 2^11, 409743
veb, 2^8, 1726524
veb, 2^9, 1765028
veb, 2^10, 1824005
veb, 2^11, 1795249
bst, 2^8, 94918
bst, 2^9, 110940
bst, 2^10, 124567
bst, 2^11, 140442
avl, 2^8, 84678
avl, 2^9, 98457
avl, 2^10, 114338
avl, 2^11, 121438
splay, 2^8, 439909
splay, 2^9, 498773
splay, 2^10, 509658
splay, 2^11, 403280
veb, 2^8, 1705056
veb, 2^9, 1582961
veb, 2^10, 1837434
veb, 2^11, 1945516
bst, 2^8, 100551
bst, 2^9, 117127
bst, 2^10, 124777
bst, 2^11, 147715
avl, 2^8, 97866
avl, 2^9, 110358
avl, 2^10, 125296
avl, 2^11, 121095
splay, 2^8, 370118
splay, 2^9, 416802
splay, 2^10, 536433
splay, 2^11, 403614
veb, 2^8, 1742776
veb, 2^9, 1860602
veb, 2^10, 1887469
veb, 2^11, 1578739
bst, 2^8, 87312
bst, 2^9, 124684
bst, 2^10, 132034
bst, 2^11, 143895
