structure, size, time(ns)
avl, 2^8, 20075
avl, 2^9, 25069
avl, 2^10, 28533
avl, 2^11, 40108
splay, 2^8, 10856
splay, 2^9, 10856
splay, 2^10, 12627
splay, 2^11, 11096
veb, 2^8, 1474611
veb, 2^9, 1699336
veb, 2^10, 1673626
veb, 2^11, 1404644
bst, 2^8, 20267
bst, 2^9, 19415
bst, 2^10, 19409
bst, 2^11, 19568
avl, 2^8, 22999
avl, 2^9, 20970
avl, 2^10, 29513
avl, 2^11, 26814
splay, 2^8, 10948
splay, 2^9, 10938
splay, 2^10, 13183
splay, 2^11, 13087
veb, 2^8, 1572401
veb, 2^9, 1486609
veb, 2^10, 1568804
veb, 2^11, 1507402
bst, 2^8, 19594
bst, 2^9, 19609
bst, 2^10, 19534
bst, 2^11, 19536
avl, 2^8, 22865
avl, 2^9, 24662
avl, 2^10, 29451
avl, 2^11, 27425
splay, 2^8, 13059
splay, 2^9, 12934
splay, 2^10, 13094
splay, 2^11, 10961
veb, 2^8, 1570340
veb, 2^9, 1530561
veb, 2^10, 1554157
veb, 2^11, 1572427
bst, 2^8, 20149
bst, 2^9, 19545
bst, 2^10, 20208
bst, 2^11, 23006
avl, 2^8, 24283
avl, 2^9, 22203
avl, 2^10, 25932
avl, 2^11, 27946
splay, 2^8, 10920
splay, 2^9, 12885
splay, 2^10, 13275
splay, 2^11, 10908
veb, 2^8, 1404867
veb, 2^9, 1571671
veb, 2^10, 1603191
veb, 2^11, 1478319
bst, 2^8, 23131
bst, 2^9, 23307
bst, 2^10, 22992
bst, 2^11, 20319
avl, 2^8, 22948
avl, 2^9, 21239
avl, 2^10, 30748
avl, 2^11, 28784
splay, 2^8, 10891
splay, 2^9, 10734
splay, 2^10, 10864
splay, 2^11, 11062
veb, 2^8, 1616814
veb, 2^9, 1470521
veb, 2^10, 1513169
veb, 2^11, 1602560
bst, 2^8, 19763
bst, 2^9, 19532
bst, 2^10, 19538
bst, 2^11, 19535
avl, 2^8, 24768
avl, 2^9, 25485
avl, 2^10, 25621
avl, 2^11, 29206
splay, 2^8, 10820
splay, 2^9, 10897
splay, 2^10, 10983
splay, 2^11, 13128
veb, 2^8, 1669187
veb, 2^9, 1588226
veb, 2^10, 1404562
veb, 2^11, 1593259
bst, 2^8, 19764
bst, 2^9, 19563
bst, 2^10, 19546
bst, 2^11, 19540
avl, 2^8, 23891
avl, 2^9, 24715
avl, 2^10, 25136
avl, 2^11, 34057
splay, 2^8, 12823
splay, 2^9, 12866
splay, 2^10, 13642
splay, 2^11, 15329
veb, 2^8, 1612250
veb, 2^9, 1644759
veb, 2^10, 1600726
veb, 2^11, 1711232
bst, 2^8, 19711
bst, 2^9, 19510
bst, 2^10, 19367
bst, 2^11, 19358
avl, 2^8, 19419
avl, 2^9, 20830
avl, 2^10, 29462
avl, 2^11, 28952
splay, 2^8, 10947
splay, 2^9, 10809
splay, 2^10, 10999
splay, 2^11, 12975
veb, 2^8, 1578940
veb, 2^9, 1407280
veb, 2^10, 1557737
veb, 2^11, 1566573
bst, 2^8, 23301
bst, 2^9, 19553
bst, 2^10, 19399
bst, 2^11, 19592
avl, 2^8, 19466
avl, 2^9, 20766
avl, 2^10, 25029
avl, 2^11, 34372
splay, 2^8, 12635
splay, 2^9, 12660
splay, 2^10, 12663
splay, 2^11, 11042
veb, 2^8, 1404953
veb, 2^9, 1571438
veb, 2^10, 1669535
veb, 2^11, 1685953
bst, 2^8, 23703
bst, 2^9, 22811
bst, 2^10, 23227
bst, 2^11, 23180
avl, 2^8, 22961
avl, 2^9, 41763
avl, 2^10, 30044
avl, 2^11, 39162
splay, 2^8, 14662
splay, 2^9, 15008
splay, 2^10, 14982
splay, 2^11, 15278
veb, 2^8, 1702921
veb, 2^9, 1788161
veb, 2^10, 1679625
veb, 2^11, 1405880
bst, 2^8, 20295
bst, 2^9, 19586
bst, 2^10, 19549
bst, 2^11, 19532
avl, 2^8, 19444
avl, 2^9, 25966
avl, 2^10, 24652
avl, 2^11, 30978
splay, 2^8, 12963
splay, 2^9, 16930
splay, 2^10, 13095
splay, 2^11, 13073
veb, 2^8, 1409576
veb, 2^9, 1445637
veb, 2^10, 1404621
veb, 2^11, 1668511
bst, 2^8, 23450
bst, 2^9, 23145
bst, 2^10, 19551
bst, 2^11, 19403
avl, 2^8, 19944
avl, 2^9, 29255
avl, 2^10, 24958
avl, 2^11, 28481
splay, 2^8, 10763
splay, 2^9, 10805
splay, 2^10, 13179
splay, 2^11, 12905
veb, 2^8, 1407832
veb, 2^9, 1577860
veb, 2^10, 1404636
veb, 2^11, 1445085
bst, 2^8, 23742
bst, 2^9, 23164
bst, 2^10, 23167
bst, 2^11, 23156
avl, 2^8, 19301
avl, 2^9, 21943
avl, 2^10, 24932
avl, 2^11, 26864
splay, 2^8, 10993
splay, 2^9, 10915
splay, 2^10, 11029
splay, 2^11, 13541
veb, 2^8, 1404969
veb, 2^9, 1530099
veb, 2^10, 1542863
veb, 2^11, 1613360
bst, 2^8, 30157
bst, 2^9, 29941
bst, 2^10, 29854
bst, 2^11, 29834
avl, 2^8, 28712
avl, 2^9, 25882
avl, 2^10, 25481
avl, 2^11, 26978
splay, 2^8, 10819
splay, 2^9, 10621
splay, 2^10, 12941
splay, 2^11, 12867
veb, 2^8, 1564875
veb, 2^9, 1506510
veb, 2^10, 1588289
veb, 2^11, 1571973
bst, 2^8, 20750
bst, 2^9, 19914
bst, 2^10, 25286
bst, 2^11, 23648
avl, 2^8, 19339
avl, 2^9, 28342
avl, 2^10, 30728
avl, 2^11, 27983
splay, 2^8, 10913
splay, 2^9, 10892
splay, 2^10, 13270
splay, 2^11, 10954
veb, 2^8, 1572116
veb, 2^9, 1437454
veb, 2^10, 1574980
veb, 2^11, 1629079
bst, 2^8, 24115
bst, 2^9, 23598
bst, 2^10, 23624
bst, 2^11, 19877
avl, 2^8, 22555
avl, 2^9, 21098
avl, 2^10, 25267
avl, 2^11, 31553
splay, 2^8, 13258
splay, 2^9, 12864
splay, 2^10, 11021
splay, 2^11, 10962
veb, 2^8, 1668481
veb, 2^9, 1466010
veb, 2^10, 1585883
veb, 2^11, 1404600
bst, 2^8, 20677
bst, 2^9, 29556
bst, 2^10, 24310
bst, 2^11, 24294
avl, 2^8, 20596
avl, 2^9, 22440
avl, 2^10, 25692
avl, 2^11, 27129
splay, 2^8, 10870
splay, 2^9, 11808
splay, 2^10, 13625
splay, 2^11, 10911
veb, 2^8, 1576010
veb, 2^9, 1404561
veb, 2^10, 1407365
veb, 2^11, 1673561
bst, 2^8, 19989
bst, 2^9, 19898
bst, 2^10, 19863
bst, 2^11, 19842
avl, 2^8, 20708
avl, 2^9, 26633
avl, 2^10, 24860
avl, 2^11, 40072
splay, 2^8, 12881
splay, 2^9, 12835
splay, 2^10, 12987
splay, 2^11, 10989
veb, 2^8, 1405067
veb, 2^9, 1569324
veb, 2^10, 1574812
veb, 2^11, 1670678
bst, 2^8, 24104
bst, 2^9, 23608
bst, 2^10, 23516
bst, 2^11, 23525
avl, 2^8, 23760
avl, 2^9, 25111
avl, 2^10, 24372
avl, 2^11, 26976
splay, 2^8, 10969
splay, 2^9, 10887
splay, 2^10, 11244
splay, 2^11, 10969
veb, 2^8, 1589914
veb, 2^9, 1609558
veb, 2^10, 1407630
veb, 2^11, 1547946
bst, 2^8, 24067
bst, 2^9, 23625
bst, 2^10, 19880
bst, 2^11, 19865
avl, 2^8, 20232
avl, 2^9, 25140
avl, 2^10, 30039
avl, 2^11, 26486
splay, 2^8, 10816
splay, 2^9, 10965
splay, 2^10, 10974
splay, 2^11, 14077
veb, 2^8, 1406824
veb, 2^9, 1502572
veb, 2^10, 1696849
veb, 2^11, 1482295
bst, 2^8, 23843
bst, 2^9, 23217
bst, 2^10, 22996
bst, 2^11, 23155
avl, 2^8, 19402
avl, 2^9, 20790
avl, 2^10, 25099
avl, 2^11, 32757
splay, 2^8, 13200
splay, 2^9, 13035
splay, 2^10, 13208
splay, 2^11, 11113
veb, 2^8, 1446478
veb, 2^9, 1602863
veb, 2^10, 1404558
veb, 2^11, 1579466
bst, 2^8, 19878
bst, 2^9, 19382
bst, 2^10, 19769
bst, 2^11, 19545
avl, 2^8, 19340
avl, 2^9, 20802
avl, 2^10, 24087
avl, 2^11, 27274
splay, 2^8, 10497
splay, 2^9, 10566
splay, 2^10, 10746
splay, 2^11, 10697
veb, 2^8, 1408315
veb, 2^9, 1407377
veb, 2^10, 1463058
veb, 2^11, 1410121
bst, 2^8, 20825
bst, 2^9, 29474
bst, 2^10, 23530
bst, 2^11, 23905
avl, 2^8, 19296
avl, 2^9, 22630
avl, 2^10, 25676
avl, 2^11, 32148
splay, 2^8, 13165
splay, 2^9, 11000
splay, 2^10, 11100
splay, 2^11, 11015
veb, 2^8, 1453862
veb, 2^9, 1502615
veb, 2^10, 1541098
veb, 2^11, 1668077
bst, 2^8, 23869
bst, 2^9, 23063
bst, 2^10, 19542
bst, 2^11, 19399
avl, 2^8, 19406
avl, 2^9, 20820
avl, 2^10, 24719
avl, 2^11, 27614
splay, 2^8, 11074
splay, 2^9, 11029
splay, 2^10, 20147
splay, 2^11, 14783
veb, 2^8, 1502162
veb, 2^9, 1582203
veb, 2^10, 1571168
veb, 2^11, 1579255
bst, 2^8, 19949
bst, 2^9, 19583
bst, 2^10, 19541
bst, 2^11, 19522
avl, 2^8, 19413
avl, 2^9, 20825
avl, 2^10, 29494
avl, 2^11, 34264
splay, 2^8, 12811
splay, 2^9, 12780
splay, 2^10, 13186
splay, 2^11, 10995
veb, 2^8, 1553724
veb, 2^9, 1410839
veb, 2^10, 1571179
veb, 2^11, 1490976
bst, 2^8, 23246
bst, 2^9, 23153
bst, 2^10, 22990
bst, 2^11, 19536
avl, 2^8, 22908
avl, 2^9, 20751
avl, 2^10, 24840
avl, 2^11, 28778
splay, 2^8, 11025
splay, 2^9, 10806
splay, 2^10, 10665
splay, 2^11, 15020
veb, 2^8, 1407668
veb, 2^9, 1458909
veb, 2^10, 1407090
veb, 2^11, 1404547
bst, 2^8, 20098
bst, 2^9, 19912
bst, 2^10, 19569
bst, 2^11, 19514
avl, 2^8, 19314
avl, 2^9, 32752
avl, 2^10, 35629
avl, 2^11, 32146
splay, 2^8, 14604
splay, 2^9, 12646
splay, 2^10, 12763
splay, 2^11, 10758
veb, 2^8, 1678832
veb, 2^9, 1660592
veb, 2^10, 1535323
veb, 2^11, 1606592
bst, 2^8, 20344
bst, 2^9, 19892
bst, 2^10, 23626
bst, 2^11, 23570
avl, 2^8, 23084
avl, 2^9, 20850
avl, 2^10, 58821
avl, 2^11, 27041
splay, 2^8, 11175
splay, 2^9, 10856
splay, 2^10, 11138
splay, 2^11, 11081
veb, 2^8, 1627494
veb, 2^9, 1602863
veb, 2^10, 1404576
veb, 2^11, 1547789
bst, 2^8, 20546
bst, 2^9, 19901
bst, 2^10, 19884
bst, 2^11, 20340
avl, 2^8, 19989
avl, 2^9, 21254
avl, 2^10, 28897
avl, 2^11, 32818
splay, 2^8, 12769
splay, 2^9, 12738
splay, 2^10, 10949
splay, 2^11, 11191
veb, 2^8, 1404866
veb, 2^9, 1632759
veb, 2^10, 1558668
veb, 2^11, 1413399
bst, 2^8, 20034
bst, 2^9, 27256
bst, 2^10, 19851
bst, 2^11, 19831
avl, 2^8, 21051
avl, 2^9, 21016
avl, 2^10, 31439
avl, 2^11, 28250
splay, 2^8, 10798
splay, 2^9, 10710
splay, 2^10, 12896
splay, 2^11, 10772
veb, 2^8, 1488250
veb, 2^9, 1688774
veb, 2^10, 1571630
veb, 2^11, 1407041
bst, 2^8, 20453
bst, 2^9, 19882
bst, 2^10, 19843
bst, 2^11, 19957
avl, 2^8, 19443
avl, 2^9, 26284
avl, 2^10, 25191
avl, 2^11, 56954
splay, 2^8, 19725
splay, 2^9, 19281
splay, 2^10, 19666
splay, 2^11, 19423
veb, 2^8, 1695061
veb, 2^9, 1408134
veb, 2^10, 1609865
veb, 2^11, 1513382
bst, 2^8, 23844
bst, 2^9, 23198
bst, 2^10, 25402
bst, 2^11, 19526
avl, 2^8, 19447
avl, 2^9, 26031
avl, 2^10, 24746
avl, 2^11, 34973
splay, 2^8, 11014
splay, 2^9, 20080
splay, 2^10, 12817
splay, 2^11, 10699
veb, 2^8, 1559035
veb, 2^9, 1572173
veb, 2^10, 1585686
veb, 2^11, 1407050
bst, 2^8, 20467
bst, 2^9, 19894
bst, 2^10, 19864
bst, 2^11, 19907
avl, 2^8, 19426
avl, 2^9, 22144
avl, 2^10, 29343
avl, 2^11, 30905
splay, 2^8, 13808
splay, 2^9, 12480
splay, 2^10, 12727
splay, 2^11, 12800
veb, 2^8, 1664912
veb, 2^9, 1664741
veb, 2^10, 1675741
veb, 2^11, 1664636
bst, 2^8, 23716
bst, 2^9, 23597
bst, 2^10, 23614
bst, 2^11, 23563
avl, 2^8, 23048
avl, 2^9, 24643
avl, 2^10, 29253
avl, 2^11, 27247
splay, 2^8, 10946
splay, 2^9, 12885
splay, 2^10, 19564
splay, 2^11, 16438
veb, 2^8, 1785500
veb, 2^9, 1404726
veb, 2^10, 1449753
veb, 2^11, 1575583
bst, 2^8, 20318
bst, 2^9, 19609
bst, 2^10, 19539
bst, 2^11, 19551
avl, 2^8, 19482
avl, 2^9, 24622
avl, 2^10, 29495
avl, 2^11, 26924
splay, 2^8, 12739
splay, 2^9, 12790
splay, 2^10, 12970
splay, 2^11, 12691
veb, 2^8, 1673217
veb, 2^9, 1674195
veb, 2^10, 1553698
veb, 2^11, 1404554
bst, 2^8, 20610
bst, 2^9, 19876
bst, 2^10, 19873
bst, 2^11, 19859
avl, 2^8, 19361
avl, 2^9, 20838
avl, 2^10, 29354
avl, 2^11, 28102
splay, 2^8, 10912
splay, 2^9, 12757
splay, 2^10, 11134
splay, 2^11, 10935
veb, 2^8, 1575979
veb, 2^9, 1557959
veb, 2^10, 1410788
veb, 2^11, 1578920
bst, 2^8, 19437
bst, 2^9, 19588
bst, 2^10, 19543
bst, 2^11, 19513
avl, 2^8, 19299
avl, 2^9, 22144
avl, 2^10, 29214
avl, 2^11, 27190
splay, 2^8, 11976
splay, 2^9, 10842
splay, 2^10, 11057
splay, 2^11, 11002
veb, 2^8, 1448635
veb, 2^9, 1436822
veb, 2^10, 1466175
veb, 2^11, 1404752
bst, 2^8, 19699
bst, 2^9, 19544
bst, 2^10, 19819
bst, 2^11, 19233
avl, 2^8, 19302
avl, 2^9, 29568
avl, 2^10, 24688
avl, 2^11, 31095
splay, 2^8, 12694
splay, 2^9, 12646
splay, 2^10, 12870
splay, 2^11, 12693
veb, 2^8, 1672332
veb, 2^9, 1668559
veb, 2^10, 1403933
veb, 2^11, 1583731
bst, 2^8, 24047
bst, 2^9, 23649
bst, 2^10, 23576
bst, 2^11, 23920
avl, 2^8, 23911
avl, 2^9, 25884
avl, 2^10, 27103
avl, 2^11, 31765
splay, 2^8, 12511
splay, 2^9, 12690
splay, 2^10, 10881
splay, 2^11, 12702
veb, 2^8, 1454260
veb, 2^9, 1496824
veb, 2^10, 1583144
veb, 2^11, 1508548
bst, 2^8, 24037
bst, 2^9, 23587
bst, 2^10, 23595
bst, 2^11, 19842
avl, 2^8, 19389
avl, 2^9, 20880
avl, 2^10, 26097
avl, 2^11, 36837
splay, 2^8, 12690
splay, 2^9, 18225
splay, 2^10, 10799
splay, 2^11, 12857
veb, 2^8, 1497200
veb, 2^9, 1538280
veb, 2^10, 1570616
veb, 2^11, 1621710
bst, 2^8, 23858
bst, 2^9, 23568
bst, 2^10, 23561
bst, 2^11, 23531
avl, 2^8, 20123
avl, 2^9, 31024
avl, 2^10, 28573
avl, 2^11, 32755
splay, 2^8, 12896
splay, 2^9, 12609
splay, 2^10, 13068
splay, 2^11, 12647
veb, 2^8, 1583203
veb, 2^9, 1572312
veb, 2^10, 1538967
veb, 2^11, 1479687
bst, 2^8, 24156
bst, 2^9, 23538
bst, 2^10, 23546
bst, 2^11, 23537
avl, 2^8, 23020
avl, 2^9, 24675
avl, 2^10, 41781
avl, 2^11, 26985
splay, 2^8, 10709
splay, 2^9, 10806
splay, 2^10, 10941
splay, 2^11, 11051
veb, 2^8, 1529984
veb, 2^9, 1404787
veb, 2^10, 1410252
veb, 2^11, 1530078
bst, 2^8, 20168
bst, 2^9, 19904
bst, 2^10, 20084
bst, 2^11, 19854
avl, 2^8, 22875
avl, 2^9, 24690
avl, 2^10, 29867
avl, 2^11, 29523
splay, 2^8, 12714
splay, 2^9, 12652
splay, 2^10, 12888
splay, 2^11, 10856
veb, 2^8, 1405183
veb, 2^9, 1408919
veb, 2^10, 1689318
veb, 2^11, 1521350
bst, 2^8, 24317
bst, 2^9, 23588
bst, 2^10, 23535
bst, 2^11, 19897
avl, 2^8, 19348
avl, 2^9, 21193
avl, 2^10, 24739
avl, 2^11, 31906
splay, 2^8, 12892
splay, 2^9, 15074
splay, 2^10, 13104
splay, 2^11, 12750
veb, 2^8, 1406018
veb, 2^9, 1580544
veb, 2^10, 1582933
veb, 2^11, 1688219
bst, 2^8, 23944
bst, 2^9, 23597
bst, 2^10, 23528
bst, 2^11, 23526
avl, 2^8, 22965
avl, 2^9, 20824
avl, 2^10, 24764
avl, 2^11, 26568
splay, 2^8, 10566
splay, 2^9, 10612
splay, 2^10, 10793
splay, 2^11, 12697
veb, 2^8, 1576262
veb, 2^9, 1411393
veb, 2^10, 1493135
veb, 2^11, 1454743
bst, 2^8, 20476
bst, 2^9, 20162
bst, 2^10, 23560
bst, 2^11, 23553
avl, 2^8, 19271
avl, 2^9, 22151
avl, 2^10, 24380
avl, 2^11, 37961
splay, 2^8, 10945
splay, 2^9, 10725
splay, 2^10, 10574
splay, 2^11, 12726
veb, 2^8, 1404882
veb, 2^9, 1505680
veb, 2^10, 1553677
veb, 2^11, 1426676
bst, 2^8, 19997
bst, 2^9, 20520
bst, 2^10, 21878
bst, 2^11, 23530
avl, 2^8, 23643
avl, 2^9, 22856
avl, 2^10, 29623
avl, 2^11, 27202
splay, 2^8, 10953
splay, 2^9, 10803
