structure, size, time(ns)
splay, 2^7, 145068
splay, 2^8, 162590
splay, 2^9, 140886
veb, 2^6, 849932
veb, 2^7, 847929
veb, 2^8, 838148
veb, 2^9, 774070
bst, 2^6, 28224
bst, 2^7, 32052
bst, 2^8, 36070
bst, 2^9, 40407
avl, 2^6, 30022
avl, 2^7, 36244
avl, 2^8, 41009
avl, 2^9, 38815
splay, 2^6, 126994
splay, 2^7, 142451
splay, 2^8, 155958
splay, 2^9, 141136
veb, 2^6, 729079
veb, 2^7, 901480
veb, 2^8, 779491
veb, 2^9, 770704
bst, 2^6, 27920
bst, 2^7, 32367
bst, 2^8, 43246
bst, 2^9, 48427
avl, 2^6, 30065
avl, 2^7, 35633
avl, 2^8, 33635
avl, 2^9, 38075
splay, 2^6, 124724
splay, 2^7, 144245
splay, 2^8, 157143
splay, 2^9, 171189
veb, 2^6, 931618
veb, 2^7, 749373
veb, 2^8, 891882
veb, 2^9, 902228
bst, 2^6, 32996
bst, 2^7, 45945
bst, 2^8, 35890
bst, 2^9, 40832
avl, 2^6, 26543
avl, 2^7, 30980
avl, 2^8, 34144
avl, 2^9, 38621
splay, 2^6, 130981
splay, 2^7, 144634
splay, 2^8, 159503
splay, 2^9, 138470
veb, 2^6, 863785
veb, 2^7, 747376
veb, 2^8, 782199
veb, 2^9, 867064
bst, 2^6, 27291
bst, 2^7, 31922
bst, 2^8, 35784
bst, 2^9, 41132
avl, 2^6, 26358
avl, 2^7, 36742
avl, 2^8, 34177
avl, 2^9, 39488
splay, 2^6, 127065
splay, 2^7, 144964
splay, 2^8, 156800
splay, 2^9, 164045
veb, 2^6, 827281
veb, 2^7, 754603
veb, 2^8, 783129
veb, 2^9, 802312
bst, 2^6, 27096
bst, 2^7, 34832
bst, 2^8, 37548
bst, 2^9, 40683
avl, 2^6, 26293
avl, 2^7, 30939
avl, 2^8, 35439
avl, 2^9, 38596
splay, 2^6, 126025
splay, 2^7, 151475
splay, 2^8, 159559
splay, 2^9, 165552
veb, 2^6, 788997
veb, 2^7, 748032
veb, 2^8, 917604
veb, 2^9, 861207
bst, 2^6, 32293
bst, 2^7, 36987
bst, 2^8, 42121
bst, 2^9, 46879
avl, 2^6, 26466
avl, 2^7, 31057
avl, 2^8, 34072
avl, 2^9, 45729
splay, 2^6, 162865
splay, 2^7, 171098
splay, 2^8, 182918
splay, 2^9, 138403
veb, 2^6, 720157
veb, 2^7, 753358
veb, 2^8, 802417
veb, 2^9, 770288
bst, 2^6, 26923
bst, 2^7, 31635
bst, 2^8, 36034
bst, 2^9, 40638
avl, 2^6, 26178
avl, 2^7, 30890
avl, 2^8, 35083
avl, 2^9, 50259
splay, 2^6, 176765
splay, 2^7, 220284
splay, 2^8, 232630
splay, 2^9, 205837
veb, 2^6, 829623
veb, 2^7, 757606
veb, 2^8, 969298
veb, 2^9, 976399
bst, 2^6, 33108
bst, 2^7, 37973
bst, 2^8, 42788
bst, 2^9, 47592
avl, 2^6, 31307
avl, 2^7, 37262
avl, 2^8, 40961
avl, 2^9, 45916
splay, 2^6, 176890
splay, 2^7, 174550
splay, 2^8, 160196
splay, 2^9, 139909
veb, 2^6, 826214
veb, 2^7, 747418
veb, 2^8, 779349
veb, 2^9, 828419
bst, 2^6, 32049
bst, 2^7, 37430
bst, 2^8, 42679
bst, 2^9, 48507
avl, 2^6, 31255
avl, 2^7, 31186
avl, 2^8, 34504
avl, 2^9, 39112
splay, 2^6, 127410
splay, 2^7, 146950
splay, 2^8, 158318
splay, 2^9, 136820
veb, 2^6, 857347
veb, 2^7, 747729
veb, 2^8, 779314
veb, 2^9, 827876
bst, 2^6, 32329
bst, 2^7, 36802
bst, 2^8, 42993
bst, 2^9, 48486
avl, 2^6, 30809
avl, 2^7, 31248
avl, 2^8, 38763
avl, 2^9, 45661
splay, 2^6, 149605
splay, 2^7, 174218
splay, 2^8, 178984
splay, 2^9, 154654
veb, 2^6, 829110
veb, 2^7, 871281
veb, 2^8, 920589
veb, 2^9, 879488
bst, 2^6, 32792
bst, 2^7, 37876
bst, 2^8, 42546
bst, 2^9, 48279
avl, 2^6, 31332
avl, 2^7, 30631
avl, 2^8, 34620
avl, 2^9, 48863
splay, 2^6, 163849
splay, 2^7, 173590
splay, 2^8, 190795
splay, 2^9, 155550
veb, 2^6, 718831
veb, 2^7, 844261
veb, 2^8, 780052
veb, 2^9, 769671
bst, 2^6, 26761
bst, 2^7, 31338
bst, 2^8, 35840
bst, 2^9, 40795
avl, 2^6, 26870
avl, 2^7, 35080
avl, 2^8, 34356
avl, 2^9, 45677
splay, 2^6, 151549
splay, 2^7, 164477
splay, 2^8, 158605
splay, 2^9, 139362
veb, 2^6, 726107
veb, 2^7, 747494
veb, 2^8, 810206
veb, 2^9, 769884
bst, 2^6, 26988
bst, 2^7, 31631
bst, 2^8, 45157
bst, 2^9, 40443
avl, 2^6, 27404
avl, 2^7, 30887
avl, 2^8, 36281
avl, 2^9, 39086
splay, 2^6, 127540
splay, 2^7, 146493
splay, 2^8, 161230
splay, 2^9, 139443
veb, 2^6, 726464
veb, 2^7, 754627
veb, 2^8, 989588
veb, 2^9, 803334
bst, 2^6, 27874
bst, 2^7, 45343
bst, 2^8, 42626
bst, 2^9, 47628
avl, 2^6, 31400
avl, 2^7, 36604
avl, 2^8, 47948
avl, 2^9, 39088
splay, 2^6, 132643
splay, 2^7, 145571
splay, 2^8, 161246
splay, 2^9, 138883
veb, 2^6, 719690
veb, 2^7, 747638
veb, 2^8, 823869
veb, 2^9, 862871
bst, 2^6, 31664
bst, 2^7, 37226
bst, 2^8, 42769
bst, 2^9, 50923
avl, 2^6, 26265
avl, 2^7, 31176
avl, 2^8, 40852
avl, 2^9, 38899
splay, 2^6, 126904
splay, 2^7, 146479
splay, 2^8, 158970
splay, 2^9, 140644
veb, 2^6, 719098
veb, 2^7, 810456
veb, 2^8, 779393
veb, 2^9, 868744
bst, 2^6, 27186
bst, 2^7, 31817
bst, 2^8, 35830
bst, 2^9, 41174
avl, 2^6, 26175
avl, 2^7, 31094
avl, 2^8, 42928
avl, 2^9, 45888
splay, 2^6, 151402
splay, 2^7, 172031
splay, 2^8, 189552
splay, 2^9, 140171
veb, 2^6, 841925
veb, 2^7, 854838
veb, 2^8, 783084
veb, 2^9, 854415
bst, 2^6, 32349
bst, 2^7, 37278
bst, 2^8, 42935
bst, 2^9, 49911
avl, 2^6, 26210
avl, 2^7, 36680
avl, 2^8, 40875
avl, 2^9, 45199
splay, 2^6, 151307
splay, 2^7, 172179
splay, 2^8, 186573
splay, 2^9, 138051
veb, 2^6, 852860
veb, 2^7, 747813
veb, 2^8, 926008
veb, 2^9, 883739
bst, 2^6, 28379
bst, 2^7, 32769
bst, 2^8, 36872
bst, 2^9, 42214
avl, 2^6, 25780
avl, 2^7, 30193
avl, 2^8, 40589
avl, 2^9, 45784
splay, 2^6, 193813
splay, 2^7, 228174
splay, 2^8, 246010
splay, 2^9, 174094
veb, 2^6, 883024
veb, 2^7, 893749
veb, 2^8, 964818
veb, 2^9, 918572
bst, 2^6, 34270
bst, 2^7, 38678
bst, 2^8, 43952
bst, 2^9, 50634
avl, 2^6, 31235
avl, 2^7, 39764
avl, 2^8, 34701
avl, 2^9, 38911
splay, 2^6, 130974
splay, 2^7, 147930
splay, 2^8, 159843
splay, 2^9, 164058
veb, 2^6, 816164
veb, 2^7, 759796
veb, 2^8, 882079
veb, 2^9, 769799
bst, 2^6, 28534
bst, 2^7, 34091
bst, 2^8, 37053
bst, 2^9, 41451
avl, 2^6, 26271
avl, 2^7, 30850
avl, 2^8, 34122
avl, 2^9, 50114
splay, 2^6, 188351
splay, 2^7, 207968
splay, 2^8, 250301
splay, 2^9, 168993
veb, 2^6, 886509
veb, 2^7, 887763
veb, 2^8, 929524
veb, 2^9, 927677
bst, 2^6, 34488
bst, 2^7, 38214
bst, 2^8, 44079
bst, 2^9, 49521
avl, 2^6, 33105
avl, 2^7, 42470
avl, 2^8, 46743
avl, 2^9, 46943
splay, 2^6, 156788
splay, 2^7, 175583
splay, 2^8, 159991
splay, 2^9, 138820
veb, 2^6, 739309
veb, 2^7, 835227
veb, 2^8, 825532
veb, 2^9, 916253
bst, 2^6, 27262
bst, 2^7, 31842
