structure, operation, time(ns)
veb, put, 1308783
veb, delete, 1854791
bst, put, 1134301
bst, delete, 5233
avl, put, 1415128
avl, delete, 1269876
splay, put, 10557
splay, delete, 35049
veb, put, 1265345
veb, delete, 1973332
bst, put, 1139982
bst, delete, 5379
avl, put, 1454604
avl, delete, 1294632
splay, put, 10710
splay, delete, 34983
veb, put, 1441959
veb, delete, 1841438
bst, put, 1016081
bst, delete, 4429
avl, put, 1384328
avl, delete, 1528184
splay, put, 10437
splay, delete, 35154
veb, put, 1271610
veb, delete, 2007371
bst, put, 1201077
bst, delete, 4479
avl, put, 1292196
avl, delete, 1279535
splay, put, 10425
splay, delete, 35111
veb, put, 1265208
veb, delete, 2030550
bst, put, 1012848
bst, delete, 4480
avl, put, 1295765
avl, delete, 1350724
splay, put, 13355
splay, delete, 41643
veb, put, 1345384
veb, delete, 1843429
bst, put, 1022846
bst, delete, 4476
avl, put, 1483283
avl, delete, 1419535
splay, put, 13290
splay, delete, 41026
veb, put, 1390276
veb, delete, 2092657
bst, put, 1151664
bst, delete, 5284
avl, put, 1335698
avl, delete, 1281616
splay, put, 10626
splay, delete, 35266
veb, put, 1443038
veb, delete, 1840624
bst, put, 1027023
bst, delete, 4471
avl, put, 1357202
avl, delete, 1418924
splay, put, 10366
splay, delete, 34712
veb, put, 1268177
veb, delete, 2000829
bst, put, 1198458
bst, delete, 4457
avl, put, 1334831
avl, delete, 1300419
splay, put, 10620
splay, delete, 34936
veb, put, 1271109
veb, delete, 2007082
bst, put, 1040950
bst, delete, 4554
avl, put, 1329644
avl, delete, 1425907
splay, put, 12718
splay, delete, 40657
veb, put, 1304654
veb, delete, 1843452
bst, put, 1037912
bst, delete, 4552
avl, put, 1503473
avl, delete, 1316886
splay, put, 22899
splay, delete, 43551
veb, put, 1421132
veb, delete, 2022987
bst, put, 1037059
bst, delete, 4429
avl, put, 1308063
avl, delete, 1284327
splay, put, 10732
splay, delete, 36001
veb, put, 1436555
veb, delete, 2020967
bst, put, 1043537
bst, delete, 4436
avl, put, 1360457
avl, delete, 1385357
splay, put, 11007
splay, delete, 46775
veb, put, 1420204
veb, delete, 1844242
bst, put, 1210718
bst, delete, 4475
avl, put, 1343439
avl, delete, 1316133
splay, put, 10319
splay, delete, 34727
veb, put, 1275195
veb, delete, 2014043
bst, put, 1051481
bst, delete, 4499
avl, put, 1468763
avl, delete, 1405946
splay, put, 12457
splay, delete, 40640
veb, put, 1314595
veb, delete, 2197215
bst, put, 1248556
bst, delete, 5470
avl, put, 1587366
avl, delete, 1537660
splay, put, 12262
splay, delete, 41589
veb, put, 1499926
veb, delete, 2192783
bst, put, 1239161
bst, delete, 5554
avl, put, 1583616
avl, delete, 1541677
splay, put, 12643
splay, delete, 41017
veb, put, 1520923
veb, delete, 2185864
bst, put, 1242868
bst, delete, 5520
avl, put, 1572043
avl, delete, 1539503
splay, put, 12251
splay, delete, 41620
veb, put, 1504179
veb, delete, 2200100
bst, put, 1223078
bst, delete, 5510
avl, put, 1584404
avl, delete, 1337597
splay, put, 12439
splay, delete, 35036
veb, put, 1456453
veb, delete, 2030978
bst, put, 1216489
bst, delete, 4616
avl, put, 1328624
avl, delete, 1524642
splay, put, 12450
splay, delete, 41037
veb, put, 1379987
veb, delete, 1978233
bst, put, 1091355
bst, delete, 4640
avl, put, 1462720
avl, delete, 1431743
splay, put, 11379
splay, delete, 35403
veb, put, 1265569
veb, delete, 2022447
bst, put, 1249457
bst, delete, 4686
avl, put, 1496330
avl, delete, 1316532
splay, put, 10733
splay, delete, 34621
veb, put, 1449665
veb, delete, 1853592
bst, put, 1071895
bst, delete, 5540
avl, put, 1636211
avl, delete, 1415083
splay, put, 14136
splay, delete, 35129
veb, put, 1452362
veb, delete, 1911825
bst, put, 1130649
bst, delete, 4645
avl, put, 1485560
avl, delete, 1426142
splay, put, 13740
splay, delete, 43407
veb, put, 1419108
veb, delete, 2068463
bst, put, 1038572
bst, delete, 4620
avl, put, 1396800
avl, delete, 1433606
splay, put, 11442
splay, delete, 35798
veb, put, 1267421
veb, delete, 2021760
bst, put, 1202829
bst, delete, 4639
avl, put, 1537179
avl, delete, 1350127
splay, put, 15562
splay, delete, 42661
veb, put, 1564779
veb, delete, 2031900
bst, put, 1184416
bst, delete, 5209
avl, put, 1439106
avl, delete, 1504564
splay, put, 11743
splay, delete, 35406
veb, put, 1270148
veb, delete, 1844933
bst, put, 1171788
bst, delete, 5544
avl, put, 1436308
avl, delete, 1493420
splay, put, 11394
splay, delete, 36013
veb, put, 1377514
veb, delete, 2106603
