structure, operation, time(ns)
avl, put, 1591928
avl, delete, 1360291
splay, put, 11710
splay, delete, 35989
veb, put, 1267243
veb, delete, 1981177
bst, put, 1072661
bst, delete, 4510
avl, put, 1392716
avl, delete, 1497710
splay, put, 13329
splay, delete, 42518
veb, put, 1503053
veb, delete, 2015313
bst, put, 1052603
bst, delete, 4573
avl, put, 1412622
avl, delete, 1399066
splay, put, 11564
splay, delete, 35441
veb, put, 1268825
veb, delete, 2020340
bst, put, 1233142
bst, delete, 4506
avl, put, 1308541
avl, delete, 1280839
splay, put, 11453
splay, delete, 35227
veb, put, 1307232
veb, delete, 1972676
bst, put, 1042972
bst, delete, 4453
avl, put, 1515773
avl, delete, 1479475
splay, put, 11474
splay, delete, 36243
veb, put, 1270531
veb, delete, 1843160
bst, put, 1101482
bst, delete, 5300
avl, put, 1490537
avl, delete, 1628866
splay, put, 12276
splay, delete, 49610
veb, put, 1416079
veb, delete, 2030293
bst, put, 1045285
bst, delete, 4569
avl, put, 1313664
avl, delete, 1368686
splay, put, 14690
splay, delete, 42334
veb, put, 1334392
veb, delete, 2145350
bst, put, 1087499
bst, delete, 6736
avl, put, 1499024
avl, delete, 1332338
splay, put, 13181
splay, delete, 35298
veb, put, 1268285
veb, delete, 2007844
bst, put, 1044396
bst, delete, 4735
avl, put, 1419528
avl, delete, 1403501
splay, put, 11620
splay, delete, 35331
veb, put, 1433217
veb, delete, 1973607
bst, put, 1247797
bst, delete, 5522
avl, put, 1515637
avl, delete, 1298337
splay, put, 11614
splay, delete, 35532
veb, put, 1423563
veb, delete, 2160930
bst, put, 1078037
bst, delete, 4688
avl, put, 1341794
avl, delete, 1324227
splay, put, 11521
splay, delete, 35303
veb, put, 1436649
veb, delete, 1877847
bst, put, 1160160
bst, delete, 4655
avl, put, 1368887
avl, delete, 1429538
splay, put, 11420
splay, delete, 36120
veb, put, 1438501
veb, delete, 1883905
bst, put, 1176541
bst, delete, 4724
avl, put, 1359885
avl, delete, 1603518
splay, put, 13514
splay, delete, 42023
veb, put, 1458915
veb, delete, 2186290
bst, put, 1332789
bst, delete, 5630
avl, put, 1992309
avl, delete, 2163006
splay, put, 21960
splay, delete, 54387
veb, put, 1560921
veb, delete, 2271350
bst, put, 1422216
bst, delete, 7458
avl, put, 2298886
avl, delete, 2280501
splay, put, 21615
splay, delete, 52315
veb, put, 1569674
veb, delete, 2215762
bst, put, 1299349
bst, delete, 6333
avl, put, 2027635
avl, delete, 2271724
splay, put, 18349
splay, delete, 45982
veb, put, 1499060
veb, delete, 2256156
bst, put, 1245234
bst, delete, 7577
avl, put, 2234526
avl, delete, 1902327
splay, put, 15121
splay, delete, 42711
veb, put, 1475366
veb, delete, 2201465
bst, put, 1327809
bst, delete, 5375
avl, put, 1676733
avl, delete, 1599779
splay, put, 13526
splay, delete, 43623
veb, put, 1501573
veb, delete, 2193915
bst, put, 1227081
bst, delete, 5645
avl, put, 1566937
avl, delete, 1531679
splay, put, 13475
splay, delete, 42563
veb, put, 1526541
veb, delete, 2014479
bst, put, 1162699
bst, delete, 6264
avl, put, 1491250
avl, delete, 1574210
splay, put, 13362
splay, delete, 41543
veb, put, 1492906
veb, delete, 1992957
bst, put, 1046079
bst, delete, 6223
avl, put, 1438721
avl, delete, 1368901
splay, put, 11487
splay, delete, 34937
veb, put, 1264880
veb, delete, 2010673
bst, put, 1193418
bst, delete, 4650
avl, put, 1312468
avl, delete, 1287123
splay, put, 11365
splay, delete, 35547
veb, put, 1436931
veb, delete, 1867127
bst, put, 1015611
bst, delete, 4692
avl, put, 1512154
avl, delete, 1569261
splay, put, 13250
splay, delete, 41649
veb, put, 1525813
veb, delete, 1845324
bst, put, 1194981
bst, delete, 4785
avl, put, 1311607
avl, delete, 1433998
splay, put, 13330
splay, delete, 42264
veb, put, 1334296
veb, delete, 2151505
bst, put, 1055476
bst, delete, 4659
avl, put, 1385649
avl, delete, 1534854
splay, put, 13741
splay, delete, 43374
veb, put, 1500406
veb, delete, 2189705
bst, put, 1201433
bst, delete, 5334
avl, put, 1522373
avl, delete, 1308648
splay, put, 20550
splay, delete, 41165
veb, put, 1494026
veb, delete, 2176428
bst, put, 1220706
bst, delete, 5711
avl, put, 1460970
avl, delete, 1548671
splay, put, 14399
splay, delete, 41679
veb, put, 1354316
veb, delete, 1975816
bst, put, 1059616
bst, delete, 4601
avl, put, 1364065
avl, delete, 1426067
splay, put, 13696
splay, delete, 41813
veb, put, 1527646
veb, delete, 1885647
bst, put, 1115725
bst, delete, 5618
avl, put, 1520373
avl, delete, 1371988
splay, put, 13054
splay, delete, 36146
veb, put, 1343818
veb, delete, 1933337
bst, put, 1152968
bst, delete, 5502
avl, put, 1349605
avl, delete, 1454689
splay, put, 11389
splay, delete, 35883
veb, put, 1445596
veb, delete, 2013943
bst, put, 1191270
bst, delete, 4711
avl, put, 1343971
avl, delete, 1478417
splay, put, 13218
splay, delete, 43539
veb, put, 1264660
veb, delete, 1895425
bst, put, 1201400
bst, delete, 5542
avl, put, 1576398
avl, delete, 1526098
splay, put, 14439
splay, delete, 42631
veb, put, 1373620
veb, delete, 2004670
bst, put, 1119850
bst, delete, 5644
avl, put, 1557660
avl, delete, 1479704
splay, put, 13374
splay, delete, 40972
veb, put, 1290378
veb, delete, 1925416
