structure, size, time(ns)
avl, 2^8, 81500
avl, 2^9, 97286
avl, 2^10, 114893
avl, 2^11, 106610
splay, 2^8, 351904
splay, 2^9, 422021
splay, 2^10, 584208
splay, 2^11, 479569
veb, 2^8, 1540836
veb, 2^9, 1655454
veb, 2^10, 1789948
veb, 2^11, 2025663
bst, 2^8, 92611
bst, 2^9, 106015
bst, 2^10, 127643
bst, 2^11, 146071
avl, 2^8, 97996
avl, 2^9, 96407
avl, 2^10, 111143
avl, 2^11, 105004
splay, 2^8, 351285
splay, 2^9, 418626
splay, 2^10, 474430
splay, 2^11, 558274
veb, 2^8, 1549255
veb, 2^9, 1665341
veb, 2^10, 1874017
veb, 2^11, 1704984
bst, 2^8, 78052
bst, 2^9, 91471
bst, 2^10, 105469
bst, 2^11, 122281
avl, 2^8, 80428
avl, 2^9, 80257
avl, 2^10, 94807
avl, 2^11, 124224
splay, 2^8, 408105
splay, 2^9, 477707
splay, 2^10, 540714
splay, 2^11, 544073
veb, 2^8, 1603852
veb, 2^9, 1776579
veb, 2^10, 1902211
veb, 2^11, 2002618
bst, 2^8, 76901
bst, 2^9, 88971
bst, 2^10, 105802
bst, 2^11, 125644
avl, 2^8, 82596
avl, 2^9, 94013
avl, 2^10, 112041
avl, 2^11, 111909
splay, 2^8, 361693
splay, 2^9, 475628
splay, 2^10, 567045
splay, 2^11, 539223
veb, 2^8, 1609732
veb, 2^9, 1669903
veb, 2^10, 1765913
veb, 2^11, 1703033
bst, 2^8, 77458
bst, 2^9, 90750
bst, 2^10, 108428
bst, 2^11, 145947
avl, 2^8, 79237
avl, 2^9, 84589
avl, 2^10, 113748
avl, 2^11, 126645
splay, 2^8, 412020
splay, 2^9, 419719
splay, 2^10, 564556
splay, 2^11, 555871
veb, 2^8, 1436043
veb, 2^9, 1733012
veb, 2^10, 1901864
veb, 2^11, 2055996
bst, 2^8, 90561
bst, 2^9, 104863
bst, 2^10, 133100
bst, 2^11, 170615
avl, 2^8, 89617
avl, 2^9, 110868
avl, 2^10, 114135
avl, 2^11, 105145
splay, 2^8, 388964
splay, 2^9, 496941
splay, 2^10, 474411
splay, 2^11, 485455
veb, 2^8, 1716197
veb, 2^9, 1637089
veb, 2^10, 1604406
veb, 2^11, 2040122
bst, 2^8, 91608
bst, 2^9, 103987
bst, 2^10, 123777
bst, 2^11, 144539
avl, 2^8, 70532
avl, 2^9, 97296
avl, 2^10, 95482
avl, 2^11, 112756
splay, 2^8, 353576
splay, 2^9, 425415
splay, 2^10, 471330
splay, 2^11, 478026
veb, 2^8, 1506708
veb, 2^9, 1718766
veb, 2^10, 1600104
veb, 2^11, 1764224
bst, 2^8, 89968
bst, 2^9, 106563
bst, 2^10, 154838
bst, 2^11, 141796
avl, 2^8, 68746
avl, 2^9, 84270
avl, 2^10, 103685
avl, 2^11, 105914
splay, 2^8, 365407
splay, 2^9, 418092
splay, 2^10, 474637
splay, 2^11, 579212
veb, 2^8, 1562926
veb, 2^9, 1617734
veb, 2^10, 1770307
veb, 2^11, 1706618
bst, 2^8, 76612
bst, 2^9, 89599
bst, 2^10, 108548
bst, 2^11, 137936
avl, 2^8, 81422
avl, 2^9, 98480
avl, 2^10, 117574
avl, 2^11, 108380
splay, 2^8, 374493
splay, 2^9, 506589
splay, 2^10, 558969
splay, 2^11, 501878
veb, 2^8, 1460475
veb, 2^9, 1733272
veb, 2^10, 1631903
veb, 2^11, 1838949
bst, 2^8, 77926
bst, 2^9, 89627
bst, 2^10, 106263
bst, 2^11, 140296
avl, 2^8, 82427
avl, 2^9, 80264
avl, 2^10, 114325
avl, 2^11, 137750
splay, 2^8, 434360
splay, 2^9, 501170
splay, 2^10, 559427
splay, 2^11, 534723
veb, 2^8, 1455491
veb, 2^9, 1558660
veb, 2^10, 1886725
veb, 2^11, 1700634
bst, 2^8, 97294
bst, 2^9, 108001
bst, 2^10, 127901
bst, 2^11, 147384
avl, 2^8, 67734
avl, 2^9, 83749
avl, 2^10, 113685
avl, 2^11, 107513
splay, 2^8, 419979
splay, 2^9, 497395
splay, 2^10, 477595
splay, 2^11, 501211
veb, 2^8, 1458368
veb, 2^9, 1597083
veb, 2^10, 1788739
veb, 2^11, 1869494
bst, 2^8, 76793
bst, 2^9, 94254
bst, 2^10, 107633
bst, 2^11, 139254
avl, 2^8, 67748
avl, 2^9, 95409
avl, 2^10, 95664
avl, 2^11, 136312
splay, 2^8, 412584
splay, 2^9, 418304
splay, 2^10, 478729
splay, 2^11, 576292
veb, 2^8, 1489561
veb, 2^9, 1669626
veb, 2^10, 1796367
veb, 2^11, 1703146
bst, 2^8, 77559
bst, 2^9, 88602
bst, 2^10, 106381
bst, 2^11, 146719
avl, 2^8, 83243
avl, 2^9, 81850
avl, 2^10, 95793
avl, 2^11, 113959
splay, 2^8, 353944
splay, 2^9, 418125
splay, 2^10, 475314
splay, 2^11, 482774
veb, 2^8, 1616558
veb, 2^9, 1501027
veb, 2^10, 1600844
veb, 2^11, 2010228
bst, 2^8, 90199
bst, 2^9, 91444
bst, 2^10, 105475
bst, 2^11, 122418
avl, 2^8, 67674
avl, 2^9, 82869
avl, 2^10, 94031
avl, 2^11, 125416
splay, 2^8, 436532
splay, 2^9, 494307
splay, 2^10, 563117
splay, 2^11, 577352
veb, 2^8, 1698218
veb, 2^9, 1780893
veb, 2^10, 1905971
veb, 2^11, 2018687
bst, 2^8, 93611
bst, 2^9, 90161
bst, 2^10, 106557
bst, 2^11, 129154
avl, 2^8, 80419
avl, 2^9, 81815
avl, 2^10, 113495
avl, 2^11, 105134
splay, 2^8, 357753
splay, 2^9, 416566
splay, 2^10, 473687
splay, 2^11, 487861
veb, 2^8, 1671239
veb, 2^9, 1562329
veb, 2^10, 1603454
veb, 2^11, 1879950
bst, 2^8, 77745
bst, 2^9, 89075
bst, 2^10, 105665
bst, 2^11, 123646
avl, 2^8, 69442
avl, 2^9, 79937
avl, 2^10, 113543
avl, 2^11, 128385
splay, 2^8, 421637
splay, 2^9, 499234
splay, 2^10, 559790
splay, 2^11, 579505
veb, 2^8, 1437761
veb, 2^9, 1665847
veb, 2^10, 1816763
veb, 2^11, 1835298
bst, 2^8, 91622
bst, 2^9, 107731
bst, 2^10, 106538
bst, 2^11, 122279
avl, 2^8, 67757
avl, 2^9, 99217
avl, 2^10, 112949
avl, 2^11, 127297
splay, 2^8, 358316
splay, 2^9, 418075
splay, 2^10, 561003
splay, 2^11, 579746
veb, 2^8, 1435765
veb, 2^9, 1588262
veb, 2^10, 1779208
veb, 2^11, 1868308
bst, 2^8, 77265
bst, 2^9, 90134
bst, 2^10, 118553
bst, 2^11, 149688
avl, 2^8, 68025
avl, 2^9, 80685
avl, 2^10, 96986
avl, 2^11, 126723
splay, 2^8, 422002
splay, 2^9, 494263
splay, 2^10, 498716
splay, 2^11, 486775
veb, 2^8, 1603538
veb, 2^9, 1674000
veb, 2^10, 1606980
veb, 2^11, 1856221
bst, 2^8, 90792
bst, 2^9, 99065
bst, 2^10, 106890
bst, 2^11, 124783
avl, 2^8, 68325
avl, 2^9, 81082
avl, 2^10, 114049
avl, 2^11, 132700
splay, 2^8, 421257
splay, 2^9, 464393
splay, 2^10, 473569
splay, 2^11, 561618
veb, 2^8, 1435798
veb, 2^9, 1620442
veb, 2^10, 1698611
veb, 2^11, 1875131
bst, 2^8, 77295
bst, 2^9, 90496
bst, 2^10, 107973
bst, 2^11, 122015
avl, 2^8, 74340
avl, 2^9, 82171
avl, 2^10, 93939
avl, 2^11, 106192
splay, 2^8, 362912
splay, 2^9, 417633
splay, 2^10, 541487
splay, 2^11, 572270
veb, 2^8, 1721700
veb, 2^9, 1634350
veb, 2^10, 1778213
veb, 2^11, 1719177
bst, 2^8, 79553
bst, 2^9, 90148
bst, 2^10, 128216
bst, 2^11, 154662
avl, 2^8, 67044
avl, 2^9, 81360
avl, 2^10, 96592
avl, 2^11, 132663
splay, 2^8, 426250
splay, 2^9, 428945
splay, 2^10, 475106
splay, 2^11, 487412
veb, 2^8, 1587357
veb, 2^9, 1498914
veb, 2^10, 1603695
veb, 2^11, 1872643
bst, 2^8, 78166
bst, 2^9, 99303
bst, 2^10, 130005
bst, 2^11, 148147
avl, 2^8, 67600
avl, 2^9, 103707
avl, 2^10, 122025
avl, 2^11, 107933
splay, 2^8, 354333
splay, 2^9, 436661
splay, 2^10, 565431
splay, 2^11, 597033
veb, 2^8, 1440349
veb, 2^9, 1722854
veb, 2^10, 1862609
veb, 2^11, 1863936
bst, 2^8, 77319
bst, 2^9, 89374
bst, 2^10, 108920
bst, 2^11, 122115
avl, 2^8, 81835
avl, 2^9, 97590
avl, 2^10, 99660
avl, 2^11, 107444
splay, 2^8, 359834
splay, 2^9, 420484
splay, 2^10, 563102
splay, 2^11, 487977
veb, 2^8, 1436296
veb, 2^9, 1651361
veb, 2^10, 1916141
veb, 2^11, 2051866
bst, 2^8, 91235
bst, 2^9, 103691
bst, 2^10, 124612
bst, 2^11, 150721
avl, 2^8, 82476
avl, 2^9, 99349
avl, 2^10, 114771
avl, 2^11, 131826
splay, 2^8, 420880
splay, 2^9, 497285
splay, 2^10, 563024
splay, 2^11, 569554
veb, 2^8, 1720437
veb, 2^9, 1838881
veb, 2^10, 1606020
veb, 2^11, 1875929
bst, 2^8, 76715
bst, 2^9, 88537
bst, 2^10, 103606
bst, 2^11, 119777
avl, 2^8, 69259
avl, 2^9, 98244
avl, 2^10, 94641
avl, 2^11, 106127
splay, 2^8, 357162
splay, 2^9, 425122
splay, 2^10, 474402
splay, 2^11, 481995
veb, 2^8, 1611308
veb, 2^9, 1571566
veb, 2^10, 1600343
veb, 2^11, 1728740
bst, 2^8, 96681
bst, 2^9, 106903
bst, 2^10, 130378
bst, 2^11, 142947
avl, 2^8, 69165
avl, 2^9, 82362
avl, 2^10, 116382
avl, 2^11, 107730
splay, 2^8, 356078
splay, 2^9, 421774
splay, 2^10, 478479
splay, 2^11, 544108
veb, 2^8, 1438205
veb, 2^9, 1669111
veb, 2^10, 1892682
veb, 2^11, 2060905
bst, 2^8, 90918
bst, 2^9, 105465
bst, 2^10, 126497
bst, 2^11, 153662
avl, 2^8, 81627
avl, 2^9, 107844
avl, 2^10, 96000
avl, 2^11, 110202
splay, 2^8, 429671
splay, 2^9, 501247
splay, 2^10, 472976
splay, 2^11, 485293
veb, 2^8, 1611376
veb, 2^9, 1600998
veb, 2^10, 1600280
veb, 2^11, 2040540
bst, 2^8, 91325
bst, 2^9, 107312
bst, 2^10, 124768
bst, 2^11, 146277
avl, 2^8, 82645
avl, 2^9, 106760
avl, 2^10, 111426
avl, 2^11, 108981
splay, 2^8, 356935
splay, 2^9, 423081
splay, 2^10, 478192
splay, 2^11, 559337
veb, 2^8, 1460871
veb, 2^9, 1799812
veb, 2^10, 1774184
veb, 2^11, 1910080
bst, 2^8, 89541
bst, 2^9, 132545
bst, 2^10, 125305
bst, 2^11, 118674
avl, 2^8, 68813
avl, 2^9, 100992
avl, 2^10, 96873
avl, 2^11, 104596
splay, 2^8, 362136
splay, 2^9, 417004
splay, 2^10, 475709
splay, 2^11, 532905
veb, 2^8, 1500192
veb, 2^9, 1695994
veb, 2^10, 1623105
veb, 2^11, 1830389
bst, 2^8, 92055
bst, 2^9, 105007
bst, 2^10, 104679
bst, 2^11, 121936
avl, 2^8, 68977
avl, 2^9, 81843
avl, 2^10, 98145
avl, 2^11, 126546
splay, 2^8, 422987
splay, 2^9, 441612
splay, 2^10, 493230
splay, 2^11, 606189
veb, 2^8, 1598978
veb, 2^9, 1568100
veb, 2^10, 1807959
veb, 2^11, 1878632
bst, 2^8, 77850
bst, 2^9, 90440
bst, 2^10, 106591
bst, 2^11, 125045
avl, 2^8, 68389
avl, 2^9, 83453
avl, 2^10, 116889
avl, 2^11, 107764
splay, 2^8, 346546
splay, 2^9, 419555
splay, 2^10, 474655
splay, 2^11, 551708
veb, 2^8, 1459896
veb, 2^9, 1698565
veb, 2^10, 1722761
veb, 2^11, 1703100
bst, 2^8, 89219
bst, 2^9, 106324
bst, 2^10, 127708
bst, 2^11, 143959
avl, 2^8, 81913
avl, 2^9, 81798
avl, 2^10, 108852
avl, 2^11, 137106
splay, 2^8, 426846
splay, 2^9, 526440
splay, 2^10, 561806
splay, 2^11, 538035
veb, 2^8, 1548814
veb, 2^9, 1665048
veb, 2^10, 1768986
veb, 2^11, 1910740
bst, 2^8, 106839
bst, 2^9, 116189
bst, 2^10, 136706
bst, 2^11, 143776
avl, 2^8, 81636
avl, 2^9, 83092
avl, 2^10, 98468
avl, 2^11, 123207
splay, 2^8, 363093
splay, 2^9, 427502
splay, 2^10, 476871
splay, 2^11, 489564
veb, 2^8, 1603138
veb, 2^9, 1524000
veb, 2^10, 1737111
veb, 2^11, 2033908
bst, 2^8, 92097
bst, 2^9, 107734
bst, 2^10, 125246
bst, 2^11, 145759
avl, 2^8, 81802
avl, 2^9, 98516
avl, 2^10, 119358
avl, 2^11, 109287
splay, 2^8, 358451
splay, 2^9, 420244
splay, 2^10, 473064
splay, 2^11, 485738
veb, 2^8, 1654102
veb, 2^9, 1612902
veb, 2^10, 1901762
veb, 2^11, 2042011
bst, 2^8, 91604
bst, 2^9, 106850
bst, 2^10, 128486
bst, 2^11, 146642
avl, 2^8, 69679
avl, 2^9, 83390
avl, 2^10, 116388
avl, 2^11, 127864
splay, 2^8, 387174
splay, 2^9, 448950
splay, 2^10, 561559
splay, 2^11, 484727
veb, 2^8, 1599536
veb, 2^9, 1500014
veb, 2^10, 1946984
veb, 2^11, 1876515
bst, 2^8, 77241
bst, 2^9, 87760
bst, 2^10, 106453
bst, 2^11, 123068
avl, 2^8, 68682
avl, 2^9, 83180
avl, 2^10, 115009
avl, 2^11, 107487
splay, 2^8, 357545
splay, 2^9, 419244
splay, 2^10, 475482
splay, 2^11, 572458
veb, 2^8, 1513027
veb, 2^9, 1714300
veb, 2^10, 1759847
veb, 2^11, 1707275
bst, 2^8, 75378
bst, 2^9, 89505
bst, 2^10, 103769
bst, 2^11, 118692
avl, 2^8, 81279
avl, 2^9, 82376
avl, 2^10, 96465
avl, 2^11, 107476
splay, 2^8, 355060
splay, 2^9, 444967
splay, 2^10, 570830
splay, 2^11, 481886
veb, 2^8, 1505316
veb, 2^9, 1524293
veb, 2^10, 1829500
veb, 2^11, 1920684
bst, 2^8, 90528
bst, 2^9, 105249
bst, 2^10, 125304
bst, 2^11, 119048
avl, 2^8, 68806
avl, 2^9, 98739
avl, 2^10, 106320
avl, 2^11, 107202
splay, 2^8, 424196
splay, 2^9, 494350
splay, 2^10, 478423
splay, 2^11, 484150
veb, 2^8, 1491620
veb, 2^9, 1503344
veb, 2^10, 1709496
veb, 2^11, 2043792
bst, 2^8, 97132
bst, 2^9, 113820
bst, 2^10, 133225
bst, 2^11, 150965
avl, 2^8, 81414
avl, 2^9, 98949
avl, 2^10, 116897
avl, 2^11, 128747
splay, 2^8, 428338
splay, 2^9, 470717
splay, 2^10, 482232
splay, 2^11, 553420
veb, 2^8, 1706483
veb, 2^9, 1558677
veb, 2^10, 1734449
veb, 2^11, 1868087
bst, 2^8, 77990
bst, 2^9, 91776
bst, 2^10, 125529
bst, 2^11, 144820
avl, 2^8, 67728
avl, 2^9, 81058
avl, 2^10, 113653
avl, 2^11, 107391
splay, 2^8, 354498
splay, 2^9, 418984
splay, 2^10, 473757
splay, 2^11, 543439
veb, 2^8, 1437479
veb, 2^9, 1666699
veb, 2^10, 1766664
veb, 2^11, 1964355
bst, 2^8, 103929
bst, 2^9, 118613
bst, 2^10, 138885
bst, 2^11, 151242
avl, 2^8, 107685
avl, 2^9, 84637
avl, 2^10, 190718
avl, 2^11, 106633
splay, 2^8, 373661
splay, 2^9, 498026
splay, 2^10, 487635
splay, 2^11, 483492
veb, 2^8, 1442618
veb, 2^9, 1679471
veb, 2^10, 1902019
veb, 2^11, 2019950
bst, 2^8, 93589
bst, 2^9, 105770
bst, 2^10, 126973
bst, 2^11, 142212
avl, 2^8, 80113
avl, 2^9, 94502
avl, 2^10, 113582
avl, 2^11, 106179
splay, 2^8, 362443
splay, 2^9, 480073
splay, 2^10, 526712
splay, 2^11, 484008
veb, 2^8, 1568887
veb, 2^9, 1503664
veb, 2^10, 1603196
veb, 2^11, 1856689
bst, 2^8, 78002
bst, 2^9, 88611
bst, 2^10, 105197
bst, 2^11, 121962
avl, 2^8, 73137
avl, 2^9, 82081
avl, 2^10, 115283
avl, 2^11, 134466
splay, 2^8, 354391
splay, 2^9, 447281
splay, 2^10, 584500
splay, 2^11, 495272
veb, 2^8, 1621105
veb, 2^9, 1724523
veb, 2^10, 1604187
veb, 2^11, 1889545
bst, 2^8, 92221
bst, 2^9, 106406
bst, 2^10, 128380
bst, 2^11, 134147
avl, 2^8, 82445
avl, 2^9, 83449
avl, 2^10, 96426
avl, 2^11, 129542
splay, 2^8, 423023
splay, 2^9, 455825
splay, 2^10, 472545
splay, 2^11, 664788
veb, 2^8, 1737791
veb, 2^9, 1680610
veb, 2^10, 1784042
veb, 2^11, 1706910
bst, 2^8, 77681
bst, 2^9, 88143
bst, 2^10, 104948
bst, 2^11, 120190
avl, 2^8, 81720
avl, 2^9, 82366
avl, 2^10, 95144
avl, 2^11, 107425
splay, 2^8, 358945
splay, 2^9, 422815
splay, 2^10, 561549
splay, 2^11, 594114
veb, 2^8, 1606398
veb, 2^9, 1734983
veb, 2^10, 1782898
veb, 2^11, 2021435
bst, 2^8, 102869
bst, 2^9, 108320
bst, 2^10, 125291
bst, 2^11, 144964
avl, 2^8, 80642
avl, 2^9, 80465
avl, 2^10, 94020
avl, 2^11, 105698
splay, 2^8, 368844
splay, 2^9, 533243
splay, 2^10, 526926
splay, 2^11, 535215
veb, 2^8, 1439381
veb, 2^9, 1598207
veb, 2^10, 1732564
veb, 2^11, 1781875
bst, 2^8, 91743
bst, 2^9, 106468
bst, 2^10, 126345
bst, 2^11, 141739
avl, 2^8, 80129
avl, 2^9, 81476
avl, 2^10, 95453
avl, 2^11, 129687
splay, 2^8, 421635
splay, 2^9, 500322
splay, 2^10, 569548
splay, 2^11, 572611
veb, 2^8, 1667822
veb, 2^9, 1500760
veb, 2^10, 1612884
veb, 2^11, 1775746
bst, 2^8, 78631
bst, 2^9, 89117
bst, 2^10, 129215
bst, 2^11, 124333
avl, 2^8, 80347
avl, 2^9, 81593
avl, 2^10, 113818
avl, 2^11, 126942
splay, 2^8, 431342
splay, 2^9, 505946
splay, 2^10, 574464
splay, 2^11, 568809
veb, 2^8, 1701809
veb, 2^9, 1695763
veb, 2^10, 1629481
veb, 2^11, 1846123
bst, 2^8, 93551
bst, 2^9, 108523
bst, 2^10, 124478
bst, 2^11, 144639
avl, 2^8, 84706
avl, 2^9, 94940
avl, 2^10, 97021
avl, 2^11, 105502
splay, 2^8, 348489
splay, 2^9, 420861
splay, 2^10, 551741
splay, 2^11, 483657
veb, 2^8, 1432222
veb, 2^9, 1756491
veb, 2^10, 1734117
veb, 2^11, 1943934
bst, 2^8, 79200
bst, 2^9, 107447
bst, 2^10, 127760
bst, 2^11, 144566
avl, 2^8, 68220
avl, 2^9, 95940
avl, 2^10, 120423
avl, 2^11, 124862
splay, 2^8, 418892
splay, 2^9, 504433
splay, 2^10, 563383
splay, 2^11, 569369
veb, 2^8, 1701723
veb, 2^9, 1778063
veb, 2^10, 1739737
veb, 2^11, 1866995
bst, 2^8, 76308
bst, 2^9, 87943
bst, 2^10, 106062
bst, 2^11, 141312
avl, 2^8, 81295
avl, 2^9, 98623
avl, 2^10, 96267
avl, 2^11, 105599
splay, 2^8, 364430
splay, 2^9, 418233
splay, 2^10, 563693
splay, 2^11, 482793
veb, 2^8, 1445370
veb, 2^9, 1776453
veb, 2^10, 1900261
veb, 2^11, 1953190
bst, 2^8, 77045
bst, 2^9, 88788
bst, 2^10, 105060
bst, 2^11, 121812
avl, 2^8, 68509
avl, 2^9, 96864
avl, 2^10, 95033
avl, 2^11, 127837
splay, 2^8, 424314
splay, 2^9, 513667
splay, 2^10, 571751
splay, 2^11, 573844
veb, 2^8, 1698963
veb, 2^9, 1782963
veb, 2^10, 1774385
veb, 2^11, 1777312
bst, 2^8, 100257
bst, 2^9, 108305
bst, 2^10, 124969
bst, 2^11, 122817
avl, 2^8, 69446
avl, 2^9, 82704
avl, 2^10, 95166
avl, 2^11, 134666
splay, 2^8, 417112
splay, 2^9, 495102
splay, 2^10, 485076
splay, 2^11, 574577
veb, 2^8, 1491252
veb, 2^9, 1792615
veb, 2^10, 1601967
veb, 2^11, 1856774
bst, 2^8, 76760
bst, 2^9, 89523
bst, 2^10, 107551
bst, 2^11, 119897
avl, 2^8, 68826
avl, 2^9, 96889
avl, 2^10, 95277
avl, 2^11, 104938
splay, 2^8, 355371
splay, 2^9, 422861
splay, 2^10, 477289
splay, 2^11, 483625
veb, 2^8, 1514560
veb, 2^9, 1613541
veb, 2^10, 1640018
veb, 2^11, 1705302
bst, 2^8, 85114
bst, 2^9, 89248
bst, 2^10, 106035
bst, 2^11, 123680
avl, 2^8, 68508
avl, 2^9, 80245
avl, 2^10, 110983
avl, 2^11, 139651
splay, 2^8, 425848
splay, 2^9, 418185
splay, 2^10, 473837
splay, 2^11, 503225
veb, 2^8, 1582582
veb, 2^9, 1499627
veb, 2^10, 1759376
veb, 2^11, 1701003
bst, 2^8, 77680
bst, 2^9, 90410
bst, 2^10, 103832
bst, 2^11, 143294
avl, 2^8, 83635
avl, 2^9, 82231
avl, 2^10, 113664
avl, 2^11, 127822
splay, 2^8, 430792
splay, 2^9, 495026
splay, 2^10, 563715
splay, 2^11, 571359
veb, 2^8, 1710630
veb, 2^9, 1778167
veb, 2^10, 1913591
veb, 2^11, 1874704
bst, 2^8, 97729
bst, 2^9, 104578
bst, 2^10, 126248
bst, 2^11, 146810
avl, 2^8, 68173
avl, 2^9, 83375
avl, 2^10, 96989
avl, 2^11, 127335
splay, 2^8, 400470
splay, 2^9, 421156
splay, 2^10, 572582
splay, 2^11, 484760
veb, 2^8, 1607658
veb, 2^9, 1666288
veb, 2^10, 1607504
veb, 2^11, 1855574
bst, 2^8, 74966
bst, 2^9, 90002
bst, 2^10, 104022
bst, 2^11, 120866
avl, 2^8, 69868
avl, 2^9, 97996
avl, 2^10, 95853
avl, 2^11, 108282
splay, 2^8, 367065
splay, 2^9, 421589
splay, 2^10, 474464
splay, 2^11, 580883
veb, 2^8, 1440268
veb, 2^9, 1712106
veb, 2^10, 1912353
veb, 2^11, 1868148
bst, 2^8, 75130
bst, 2^9, 90299
bst, 2^10, 132514
bst, 2^11, 143155
avl, 2^8, 81197
