structure, size, time(ns)
bst, 2^8, 98785
bst, 2^9, 115588
bst, 2^10, 137783
bst, 2^11, 152803
avl, 2^8, 86137
avl, 2^9, 98890
avl, 2^10, 104244
avl, 2^11, 116001
splay, 2^8, 361437
splay, 2^9, 464826
splay, 2^10, 549715
splay, 2^11, 566190
veb, 2^8, 1519109
veb, 2^9, 1670413
veb, 2^10, 1726454
veb, 2^11, 1861390
bst, 2^8, 79322
bst, 2^9, 94855
bst, 2^10, 112572
bst, 2^11, 127131
avl, 2^8, 84063
avl, 2^9, 84786
avl, 2^10, 98450
avl, 2^11, 109507
splay, 2^8, 436733
splay, 2^9, 508361
splay, 2^10, 484079
splay, 2^11, 577798
veb, 2^8, 1597147
veb, 2^9, 1503293
veb, 2^10, 1861941
veb, 2^11, 1907677
bst, 2^8, 93476
bst, 2^9, 108740
bst, 2^10, 127957
bst, 2^11, 123695
avl, 2^8, 83673
avl, 2^9, 82895
avl, 2^10, 95642
avl, 2^11, 108176
splay, 2^8, 362632
splay, 2^9, 423138
splay, 2^10, 475764
splay, 2^11, 580687
veb, 2^8, 1706406
veb, 2^9, 1780955
veb, 2^10, 1925508
veb, 2^11, 1932620
bst, 2^8, 90229
bst, 2^9, 132100
bst, 2^10, 123852
bst, 2^11, 120641
avl, 2^8, 68284
avl, 2^9, 97136
avl, 2^10, 95062
avl, 2^11, 106128
splay, 2^8, 435143
splay, 2^9, 493779
splay, 2^10, 473512
splay, 2^11, 546284
veb, 2^8, 1439214
veb, 2^9, 1607185
veb, 2^10, 1806311
veb, 2^11, 1703000
bst, 2^8, 75394
bst, 2^9, 88376
bst, 2^10, 105908
bst, 2^11, 118682
avl, 2^8, 81082
avl, 2^9, 82110
avl, 2^10, 102881
avl, 2^11, 107438
splay, 2^8, 367201
splay, 2^9, 433291
splay, 2^10, 566978
splay, 2^11, 478383
veb, 2^8, 1576022
veb, 2^9, 1498488
veb, 2^10, 1700046
veb, 2^11, 1735173
bst, 2^8, 89006
bst, 2^9, 103756
bst, 2^10, 124121
bst, 2^11, 146186
avl, 2^8, 90868
avl, 2^9, 108118
avl, 2^10, 96771
avl, 2^11, 128649
splay, 2^8, 415894
splay, 2^9, 420805
splay, 2^10, 473898
splay, 2^11, 485660
veb, 2^8, 1647782
veb, 2^9, 1781278
veb, 2^10, 1789546
veb, 2^11, 1815036
bst, 2^8, 76102
bst, 2^9, 89103
bst, 2^10, 103735
bst, 2^11, 120357
avl, 2^8, 81651
avl, 2^9, 97975
avl, 2^10, 114818
avl, 2^11, 129157
splay, 2^8, 409492
splay, 2^9, 499293
splay, 2^10, 505663
splay, 2^11, 508851
veb, 2^8, 1603769
veb, 2^9, 1706054
veb, 2^10, 1739538
veb, 2^11, 2013688
bst, 2^8, 91403
bst, 2^9, 108119
bst, 2^10, 125115
bst, 2^11, 146581
avl, 2^8, 80629
avl, 2^9, 100075
avl, 2^10, 112890
avl, 2^11, 105713
splay, 2^8, 350497
splay, 2^9, 494566
splay, 2^10, 486338
splay, 2^11, 483461
veb, 2^8, 1622995
veb, 2^9, 1558396
veb, 2^10, 1900150
veb, 2^11, 1842930
bst, 2^8, 77338
bst, 2^9, 89189
bst, 2^10, 105656
bst, 2^11, 123551
avl, 2^8, 82805
avl, 2^9, 81439
avl, 2^10, 112571
avl, 2^11, 133566
splay, 2^8, 420553
splay, 2^9, 492351
splay, 2^10, 575212
splay, 2^11, 578782
veb, 2^8, 1672069
veb, 2^9, 1780534
veb, 2^10, 1774179
veb, 2^11, 1765964
bst, 2^8, 78828
bst, 2^9, 107626
bst, 2^10, 124359
bst, 2^11, 144748
avl, 2^8, 88325
avl, 2^9, 105283
avl, 2^10, 114693
avl, 2^11, 108638
splay, 2^8, 399297
splay, 2^9, 492932
splay, 2^10, 473408
splay, 2^11, 478640
veb, 2^8, 1564223
veb, 2^9, 1815054
veb, 2^10, 1966899
veb, 2^11, 1840237
bst, 2^8, 106087
bst, 2^9, 106056
bst, 2^10, 126663
bst, 2^11, 147065
avl, 2^8, 69067
avl, 2^9, 96809
avl, 2^10, 96539
avl, 2^11, 105701
splay, 2^8, 357987
splay, 2^9, 419806
splay, 2^10, 549492
splay, 2^11, 534072
veb, 2^8, 1581078
veb, 2^9, 1707994
veb, 2^10, 1761556
veb, 2^11, 1763809
bst, 2^8, 89579
bst, 2^9, 102844
bst, 2^10, 123040
bst, 2^11, 144548
avl, 2^8, 70555
avl, 2^9, 83542
avl, 2^10, 96574
avl, 2^11, 129953
splay, 2^8, 428029
splay, 2^9, 468213
splay, 2^10, 470590
splay, 2^11, 483131
veb, 2^8, 1433610
veb, 2^9, 1520648
veb, 2^10, 1603061
veb, 2^11, 1896674
bst, 2^8, 88910
bst, 2^9, 111624
bst, 2^10, 103767
bst, 2^11, 119418
avl, 2^8, 68437
avl, 2^9, 83207
avl, 2^10, 112608
avl, 2^11, 108193
splay, 2^8, 360408
splay, 2^9, 426959
splay, 2^10, 473957
splay, 2^11, 571676
veb, 2^8, 1708553
veb, 2^9, 1781403
veb, 2^10, 1819924
veb, 2^11, 2016355
bst, 2^8, 88175
bst, 2^9, 110598
bst, 2^10, 124801
bst, 2^11, 145305
