structure, operation, time(ns)
bst, put, 37195887
bst, delete, 3208940
avl, put, 83864510
avl, delete, 44605283
splay, put, 8886561
splay, delete, 12790072
veb, put, 74970399
veb, delete, 23180969
bst, put, 45024403
bst, delete, 2051043
avl, put, 56688214
avl, delete, 51242660
splay, put, 7082129
splay, delete, 10149954
veb, put, 5830351
veb, delete, 7844050
bst, put, 20584315
bst, delete, 1105556
avl, put, 28637205
avl, delete, 29390829
splay, put, 4472989
splay, delete, 1662324
veb, put, 6470397
veb, delete, 8019188
bst, put, 20767544
bst, delete, 33425
avl, put, 28078651
avl, delete, 32616646
splay, put, 4480522
splay, delete, 1823733
veb, put, 6406703
veb, delete, 8489631
bst, put, 23332206
bst, delete, 97695
avl, put, 33848470
avl, delete, 26809739
splay, put, 3404454
splay, delete, 1781453
veb, put, 5983547
veb, delete, 7868734
bst, put, 19195279
bst, delete, 78608
avl, put, 25626283
avl, delete, 25862246
splay, put, 145972
splay, delete, 184706
veb, put, 5364733
veb, delete, 7351661
bst, put, 20445443
bst, delete, 96686
avl, put, 32284886
avl, delete, 25839280
splay, put, 91246
splay, delete, 176139
veb, put, 5375878
veb, delete, 7529880
bst, put, 22310928
bst, delete, 103838
avl, put, 27986305
avl, delete, 28861490
splay, put, 176107
splay, delete, 212687
veb, put, 5544621
veb, delete, 7392476
bst, put, 25691173
bst, delete, 100256
avl, put, 32561416
avl, delete, 27924218
splay, put, 171627
splay, delete, 218195
veb, put, 5269321
veb, delete, 7184700
bst, put, 20295186
bst, delete, 65089
avl, put, 25352315
avl, delete, 25011413
splay, put, 55952
splay, delete, 177612
veb, put, 5069504
veb, delete, 7010883
bst, put, 19034279
bst, delete, 20952
avl, put, 26198824
avl, delete, 28392228
splay, put, 105454
splay, delete, 178619
veb, put, 4995554
veb, delete, 6987186
bst, put, 20471551
bst, delete, 83951
avl, put, 29106323
avl, delete, 28525081
splay, put, 1121578
splay, delete, 185167
veb, put, 5175677
veb, delete, 6992997
bst, put, 20975343
bst, delete, 95346
avl, put, 29385871
avl, delete, 28913727
splay, put, 135070
splay, delete, 178395
veb, put, 4970057
veb, delete, 6756117
bst, put, 23681617
bst, delete, 37928
avl, put, 32129710
avl, delete, 31421611
splay, put, 163985
splay, delete, 211043
veb, put, 4903739
veb, delete, 6807805
bst, put, 23001353
bst, delete, 56948
avl, put, 32221468
avl, delete, 27265938
splay, put, 205355
splay, delete, 182340
veb, put, 5178498
veb, delete, 9651016
bst, put, 20200016
bst, delete, 102055
avl, put, 26145700
avl, delete, 32356629
splay, put, 241654
splay, delete, 222897
veb, put, 6504439
veb, delete, 7221426
bst, put, 21756034
bst, delete, 100689
avl, put, 33613276
avl, delete, 32959271
splay, put, 241513
splay, delete, 211430
veb, put, 5342108
veb, delete, 7236165
bst, put, 21679498
bst, delete, 107287
avl, put, 34489612
avl, delete, 33651378
splay, put, 251650
splay, delete, 216186
veb, put, 5380871
veb, delete, 7279454
bst, put, 22458639
bst, delete, 104648
avl, put, 34186423
avl, delete, 32718418
splay, put, 264089
splay, delete, 214095
veb, put, 5287623
veb, delete, 7225335
bst, put, 23596308
bst, delete, 974368
avl, put, 34364794
avl, delete, 41008596
splay, put, 255677
splay, delete, 216213
veb, put, 8115169
veb, delete, 7429213
bst, put, 20113084
bst, delete, 61328
avl, put, 26336564
avl, delete, 27978216
splay, put, 139854
splay, delete, 186543
veb, put, 5153541
veb, delete, 7045415
bst, put, 19137864
bst, delete, 22284
avl, put, 27248285
avl, delete, 26707433
splay, put, 103744
splay, delete, 187856
veb, put, 5123218
veb, delete, 7007174
bst, put, 21728822
bst, delete, 89603
avl, put, 28898817
avl, delete, 24968100
splay, put, 107955
splay, delete, 183895
veb, put, 5131902
veb, delete, 6977245
bst, put, 19104990
bst, delete, 21188
avl, put, 25535659
avl, delete, 24973643
splay, put, 108658
splay, delete, 173014
veb, put, 5130016
veb, delete, 6987347
bst, put, 19133814
bst, delete, 21800
avl, put, 29444457
avl, delete, 25689415
splay, put, 157171
splay, delete, 183091
veb, put, 5242687
veb, delete, 7004000
bst, put, 19126987
bst, delete, 31202
avl, put, 25836119
avl, delete, 24988416
splay, put, 221361
splay, delete, 179912
veb, put, 4673626
veb, delete, 6263006
bst, put, 17388289
bst, delete, 20999
avl, put, 23999953
avl, delete, 23903285
splay, put, 101733
splay, delete, 178808
veb, put, 5122351
veb, delete, 6336433
bst, put, 17443045
bst, delete, 21359
avl, put, 23255841
avl, delete, 23435903
splay, put, 103192
splay, delete, 178742
veb, put, 4531336
veb, delete, 6274855
bst, put, 17242780
bst, delete, 22091
avl, put, 24086123
avl, delete, 23904715
splay, put, 1106905
splay, delete, 175913
veb, put, 4525909
veb, delete, 6394919
