structure, size, time(ns)
bst, 2^6, 25796
bst, 2^7, 24562
bst, 2^8, 30938
bst, 2^9, 31500
avl, 2^6, 26578
avl, 2^7, 31285
avl, 2^8, 38313
avl, 2^9, 30903
splay, 2^6, 18935
splay, 2^7, 17866
splay, 2^8, 10529
splay, 2^9, 10423
veb, 2^6, 1395042
veb, 2^7, 1427612
veb, 2^8, 975703
veb, 2^9, 1053081
bst, 2^6, 19883
bst, 2^7, 18953
bst, 2^8, 26039
bst, 2^9, 30672
avl, 2^6, 25235
avl, 2^7, 30013
avl, 2^8, 39002
avl, 2^9, 30868
splay, 2^6, 18255
splay, 2^7, 17436
splay, 2^8, 10543
splay, 2^9, 10452
veb, 2^6, 1575638
veb, 2^7, 1559881
veb, 2^8, 933045
veb, 2^9, 1114641
bst, 2^6, 25458
bst, 2^7, 25349
bst, 2^8, 30744
bst, 2^9, 30634
avl, 2^6, 25594
avl, 2^7, 30394
avl, 2^8, 32165
avl, 2^9, 38599
splay, 2^6, 17828
splay, 2^7, 20191
splay, 2^8, 10565
splay, 2^9, 10419
veb, 2^6, 1573375
veb, 2^7, 1651693
veb, 2^8, 1104551
veb, 2^9, 930862
bst, 2^6, 21412
bst, 2^7, 21760
bst, 2^8, 25861
bst, 2^9, 28780
avl, 2^6, 21540
avl, 2^7, 25028
avl, 2^8, 32126
avl, 2^9, 36404
splay, 2^6, 20972
splay, 2^7, 22726
splay, 2^8, 12521
splay, 2^9, 12362
veb, 2^6, 1499018
veb, 2^7, 1564500
veb, 2^8, 1101512
veb, 2^9, 930887
bst, 2^6, 21384
bst, 2^7, 21429
bst, 2^8, 25858
bst, 2^9, 25876
avl, 2^6, 21240
avl, 2^7, 25298
avl, 2^8, 31786
avl, 2^9, 31016
splay, 2^6, 17800
splay, 2^7, 17270
splay, 2^8, 10476
splay, 2^9, 10648
veb, 2^6, 1516202
veb, 2^7, 1414592
veb, 2^8, 976786
veb, 2^9, 935161
bst, 2^6, 21486
bst, 2^7, 22093
bst, 2^8, 25894
bst, 2^9, 25860
avl, 2^6, 21579
avl, 2^7, 25044
avl, 2^8, 37698
avl, 2^9, 31634
splay, 2^6, 18193
splay, 2^7, 17810
splay, 2^8, 10738
splay, 2^9, 12656
veb, 2^6, 1511592
veb, 2^7, 1569593
veb, 2^8, 930956
veb, 2^9, 958582
bst, 2^6, 24786
bst, 2^7, 24750
bst, 2^8, 31762
bst, 2^9, 31693
avl, 2^6, 25220
avl, 2^7, 29482
avl, 2^8, 31791
avl, 2^9, 36684
splay, 2^6, 23565
splay, 2^7, 17700
splay, 2^8, 10862
splay, 2^9, 10639
veb, 2^6, 1394951
veb, 2^7, 1521994
veb, 2^8, 931068
veb, 2^9, 1097781
bst, 2^6, 21912
bst, 2^7, 21692
bst, 2^8, 25927
bst, 2^9, 25854
avl, 2^6, 21329
avl, 2^7, 24775
avl, 2^8, 32200
avl, 2^9, 30927
splay, 2^6, 18240
splay, 2^7, 21208
splay, 2^8, 10775
splay, 2^9, 10677
veb, 2^6, 1522099
veb, 2^7, 1412109
veb, 2^8, 938766
veb, 2^9, 1065008
bst, 2^6, 24849
bst, 2^7, 24688
bst, 2^8, 31707
bst, 2^9, 31720
avl, 2^6, 25142
avl, 2^7, 29174
avl, 2^8, 31741
avl, 2^9, 31215
splay, 2^6, 18057
splay, 2^7, 17742
splay, 2^8, 12800
splay, 2^9, 12606
veb, 2^6, 1492400
veb, 2^7, 1490851
veb, 2^8, 1092445
veb, 2^9, 964921
bst, 2^6, 21099
bst, 2^7, 22540
bst, 2^8, 25891
bst, 2^9, 25834
avl, 2^6, 21315
avl, 2^7, 24726
avl, 2^8, 32181
avl, 2^9, 32855
splay, 2^6, 17818
splay, 2^7, 17751
splay, 2^8, 10819
splay, 2^9, 10653
veb, 2^6, 1399002
veb, 2^7, 1394872
veb, 2^8, 1045024
veb, 2^9, 930876
bst, 2^6, 21968
bst, 2^7, 21664
bst, 2^8, 25374
bst, 2^9, 26792
avl, 2^6, 21209
avl, 2^7, 24655
avl, 2^8, 32211
avl, 2^9, 30918
splay, 2^6, 18045
splay, 2^7, 17952
splay, 2^8, 10771
splay, 2^9, 12023
veb, 2^6, 1400878
veb, 2^7, 1488925
veb, 2^8, 1052549
veb, 2^9, 1045682
bst, 2^6, 24805
bst, 2^7, 29055
bst, 2^8, 30721
bst, 2^9, 31725
avl, 2^6, 25240
avl, 2^7, 29640
avl, 2^8, 31642
avl, 2^9, 30954
splay, 2^6, 17861
splay, 2^7, 18294
splay, 2^8, 12151
splay, 2^9, 10675
veb, 2^6, 1394945
veb, 2^7, 1659461
veb, 2^8, 1055664
veb, 2^9, 1082907
bst, 2^6, 29872
bst, 2^7, 20880
bst, 2^8, 26881
bst, 2^9, 26761
avl, 2^6, 21328
avl, 2^7, 25291
avl, 2^8, 31757
avl, 2^9, 30919
splay, 2^6, 17960
splay, 2^7, 17957
splay, 2^8, 11149
splay, 2^9, 11134
veb, 2^6, 1515315
veb, 2^7, 1394859
veb, 2^8, 933400
