structure, operation, time(ns)
bst, put, 57725
bst, delete, 49409
avl, put, 2173387
avl, delete, 652505
splay, put, 153160
splay, delete, 182548
veb, put, 1603531
veb, delete, 232084
bst, put, 45319
bst, delete, 27610
avl, put, 2271286
avl, delete, 641649
splay, put, 143932
splay, delete, 215737
veb, put, 1849504
veb, delete, 266950
bst, put, 52493
bst, delete, 42414
avl, put, 2272129
avl, delete, 900652
splay, put, 147798
splay, delete, 174717
veb, put, 1856002
veb, delete, 288830
bst, put, 53593
bst, delete, 34009
avl, put, 2253676
avl, delete, 1245149
splay, put, 141835
splay, delete, 167161
veb, put, 1854094
veb, delete, 253719
bst, put, 52480
bst, delete, 48115
avl, put, 2260391
avl, delete, 939831
splay, put, 141956
splay, delete, 176126
veb, put, 1837231
veb, delete, 283506
bst, put, 54128
bst, delete, 42353
avl, put, 2279535
avl, delete, 936997
splay, put, 151742
splay, delete, 172859
veb, put, 1832760
veb, delete, 255111
bst, put, 51612
bst, delete, 42406
avl, put, 2301937
avl, delete, 1206751
splay, put, 141633
splay, delete, 176328
veb, put, 1865078
veb, delete, 262066
bst, put, 50833
bst, delete, 33674
avl, put, 2308155
avl, delete, 1161490
splay, put, 143599
splay, delete, 169001
veb, put, 1842775
veb, delete, 265401
bst, put, 54176
bst, delete, 42102
avl, put, 2291424
avl, delete, 1068605
splay, put, 153030
splay, delete, 176562
veb, put, 1849231
veb, delete, 273064
bst, put, 54623
bst, delete, 33893
avl, put, 2205063
avl, delete, 1133865
splay, put, 144634
splay, delete, 171503
veb, put, 1566051
veb, delete, 40518
bst, put, 43404
bst, delete, 29497
avl, put, 2122848
avl, delete, 875848
splay, put, 148057
splay, delete, 173397
veb, put, 1759242
veb, delete, 17086
bst, put, 46904
bst, delete, 33374
avl, put, 2033474
avl, delete, 724574
splay, put, 143400
splay, delete, 171400
veb, put, 1570420
veb, delete, 7696
bst, put, 44170
bst, delete, 37925
avl, put, 2098311
avl, delete, 617288
splay, put, 119573
splay, delete, 146209
veb, put, 1647598
veb, delete, 9103
bst, put, 59991
bst, delete, 44034
avl, put, 2152858
avl, delete, 1021744
splay, put, 142514
splay, delete, 172765
veb, put, 1634270
veb, delete, 15996
bst, put, 46062
bst, delete, 27415
avl, put, 2120603
avl, delete, 634785
splay, put, 142808
splay, delete, 186009
veb, put, 1803962
veb, delete, 7689
bst, put, 42914
bst, delete, 27693
avl, put, 2074995
avl, delete, 942959
splay, put, 118170
splay, delete, 145757
veb, put, 1549728
veb, delete, 7638
bst, put, 46588
bst, delete, 29791
avl, put, 2091977
avl, delete, 1036504
splay, put, 141279
splay, delete, 172626
veb, put, 1778682
veb, delete, 7649
bst, put, 47001
bst, delete, 31206
avl, put, 2071045
avl, delete, 560771
splay, put, 120528
splay, delete, 144966
veb, put, 1752892
veb, delete, 9125
bst, put, 60807
bst, delete, 37614
avl, put, 2232572
avl, delete, 942190
splay, put, 121398
splay, delete, 158970
veb, put, 1704278
veb, delete, 8050
bst, put, 44637
bst, delete, 30358
avl, put, 2233618
avl, delete, 584487
splay, put, 146189
splay, delete, 176650
veb, put, 1866052
veb, delete, 15185
bst, put, 55171
bst, delete, 55717
avl, put, 2293400
avl, delete, 1072003
splay, put, 154813
splay, delete, 172679
veb, put, 1851373
veb, delete, 9370
bst, put, 55831
bst, delete, 54908
avl, put, 2527233
avl, delete, 1383309
splay, put, 131518
splay, delete, 149131
veb, put, 1706215
veb, delete, 42414
bst, put, 61325
bst, delete, 29871
avl, put, 2236189
avl, delete, 884125
splay, put, 145709
splay, delete, 176370
veb, put, 1736143
veb, delete, 18776
bst, put, 53766
bst, delete, 43824
avl, put, 2202190
avl, delete, 641728
splay, put, 122383
splay, delete, 146683
veb, put, 1768891
veb, delete, 9153
bst, put, 55785
bst, delete, 32145
avl, put, 2303079
avl, delete, 903833
splay, put, 154765
splay, delete, 180576
veb, put, 1757029
veb, delete, 15996
bst, put, 45490
bst, delete, 29797
avl, put, 1932035
avl, delete, 763723
