structure, operation, time(ns)
splay, put, 123668
splay, delete, 141421
veb, put, 1724574
veb, delete, 7777
bst, put, 53386
bst, delete, 40295
avl, put, 2181788
avl, delete, 701322
splay, put, 118736
splay, delete, 146692
veb, put, 1847351
veb, delete, 9218
bst, put, 55133
bst, delete, 31767
avl, put, 2307715
avl, delete, 520706
splay, put, 137925
splay, delete, 146159
veb, put, 1801189
veb, delete, 14127
bst, put, 56067
bst, delete, 31241
avl, put, 1995209
avl, delete, 533070
splay, put, 120527
splay, delete, 146184
veb, put, 1714819
veb, delete, 11762
bst, put, 44128
bst, delete, 33262
avl, put, 1921480
avl, delete, 698502
splay, put, 118655
splay, delete, 147840
veb, put, 1656426
veb, delete, 14014
bst, put, 50097
bst, delete, 27920
avl, put, 2128212
avl, delete, 790787
splay, put, 119492
splay, delete, 144904
veb, put, 1626741
veb, delete, 13987
bst, put, 53669
bst, delete, 40143
avl, put, 1954993
avl, delete, 880857
splay, put, 120980
splay, delete, 144411
veb, put, 1594472
veb, delete, 14174
bst, put, 52667
bst, delete, 43587
avl, put, 2202587
avl, delete, 822252
splay, put, 120152
splay, delete, 144563
veb, put, 1576954
veb, delete, 13975
bst, put, 53115
bst, delete, 26257
avl, put, 2190439
avl, delete, 922427
splay, put, 123745
splay, delete, 147835
veb, put, 1696306
veb, delete, 9112
bst, put, 57850
bst, delete, 41029
avl, put, 2097135
avl, delete, 868403
splay, put, 119282
splay, delete, 142191
veb, put, 1578861
veb, delete, 18798
bst, put, 51652
bst, delete, 46405
avl, put, 2033464
avl, delete, 750339
splay, put, 119141
splay, delete, 148514
veb, put, 1554200
veb, delete, 7656
bst, put, 45090
bst, delete, 36761
avl, put, 2131773
avl, delete, 929391
splay, put, 118841
splay, delete, 143452
veb, put, 1568458
veb, delete, 7664
bst, put, 47491
bst, delete, 18839
avl, put, 2312824
avl, delete, 1036212
splay, put, 124048
splay, delete, 148582
veb, put, 1672795
veb, delete, 9366
bst, put, 53912
bst, delete, 38513
avl, put, 2149064
avl, delete, 754882
splay, put, 154189
splay, delete, 179461
veb, put, 1787120
veb, delete, 9117
bst, put, 53699
bst, delete, 22929
avl, put, 1982820
avl, delete, 1154083
splay, put, 144086
splay, delete, 174995
veb, put, 1758522
veb, delete, 9103
bst, put, 56801
bst, delete, 29825
avl, put, 2158278
avl, delete, 765337
splay, put, 129222
splay, delete, 175756
veb, put, 1749900
veb, delete, 9101
bst, put, 52190
bst, delete, 30981
avl, put, 2004627
avl, delete, 531521
splay, put, 118340
splay, delete, 143670
veb, put, 1549348
veb, delete, 11852
bst, put, 47672
bst, delete, 22810
avl, put, 2094529
avl, delete, 899691
splay, put, 117768
splay, delete, 147386
veb, put, 1551149
veb, delete, 7724
bst, put, 56643
bst, delete, 50067
avl, put, 2060515
avl, delete, 742819
splay, put, 123183
splay, delete, 145520
veb, put, 1547940
veb, delete, 7738
bst, put, 46277
bst, delete, 27626
avl, put, 2095956
avl, delete, 638285
splay, put, 117908
splay, delete, 145355
veb, put, 1549724
veb, delete, 7672
bst, put, 43646
bst, delete, 33259
avl, put, 2113580
avl, delete, 893653
splay, put, 122382
splay, delete, 142201
veb, put, 1545112
veb, delete, 11783
bst, put, 44333
bst, delete, 42052
avl, put, 2066368
avl, delete, 917012
splay, put, 145285
splay, delete, 184034
veb, put, 1848094
veb, delete, 9293
bst, put, 62243
bst, delete, 44275
avl, put, 2340214
avl, delete, 715448
splay, put, 146680
splay, delete, 179406
veb, put, 1860072
veb, delete, 9269
bst, put, 52536
bst, delete, 40053
avl, put, 2300710
avl, delete, 749656
splay, put, 143766
splay, delete, 179772
veb, put, 1854694
veb, delete, 14187
bst, put, 53309
bst, delete, 30644
avl, put, 2297769
avl, delete, 730477
splay, put, 144371
splay, delete, 169055
veb, put, 1853078
veb, delete, 14114
bst, put, 55214
bst, delete, 42604
avl, put, 2291262
avl, delete, 1044174
splay, put, 144824
splay, delete, 175227
veb, put, 1856519
veb, delete, 15211
bst, put, 73676
bst, delete, 36646
avl, put, 2434233
avl, delete, 1203581
splay, put, 160975
splay, delete, 172828
veb, put, 1562013
veb, delete, 8750
bst, put, 44210
bst, delete, 32973
avl, put, 2183789
avl, delete, 1224662
splay, put, 151721
splay, delete, 177053
veb, put, 1860313
veb, delete, 14258
bst, put, 56938
bst, delete, 44829
avl, put, 2254006
avl, delete, 503718
splay, put, 120531
splay, delete, 150526
veb, put, 1548973
veb, delete, 16012
bst, put, 43038
bst, delete, 31748
avl, put, 2190394
avl, delete, 1214227
splay, put, 118786
splay, delete, 147150
veb, put, 1546556
veb, delete, 7703
bst, put, 43899
bst, delete, 26640
avl, put, 1954686
avl, delete, 1014414
splay, put, 143896
splay, delete, 176207
veb, put, 1846354
veb, delete, 9129
bst, put, 52643
bst, delete, 40900
avl, put, 1977823
avl, delete, 602347
splay, put, 118466
splay, delete, 140806
veb, put, 1616970
veb, delete, 9168
bst, put, 52311
bst, delete, 45573
avl, put, 2026936
avl, delete, 780713
splay, put, 121120
splay, delete, 147000
veb, put, 1747060
veb, delete, 9250
bst, put, 55059
bst, delete, 42163
avl, put, 1901058
avl, delete, 958760
splay, put, 120383
splay, delete, 147019
veb, put, 1548346
veb, delete, 8122
bst, put, 46535
bst, delete, 33781
avl, put, 2215336
avl, delete, 1016655
splay, put, 120712
splay, delete, 144907
veb, put, 1574915
veb, delete, 14080
bst, put, 51889
bst, delete, 39288
avl, put, 2043905
avl, delete, 643636
splay, put, 123813
splay, delete, 145852
veb, put, 1546338
veb, delete, 7673
bst, put, 47547
bst, delete, 43356
avl, put, 1962137
avl, delete, 1033584
splay, put, 124103
splay, delete, 143968
veb, put, 1828670
veb, delete, 9116
bst, put, 60374
bst, delete, 22665
avl, put, 2002797
avl, delete, 618368
splay, put, 142665
splay, delete, 175947
veb, put, 1659062
veb, delete, 7754
bst, put, 46626
bst, delete, 31737
avl, put, 1918466
avl, delete, 1075013
splay, put, 127095
splay, delete, 147926
veb, put, 1550069
veb, delete, 11880
bst, put, 45035
bst, delete, 37008
avl, put, 2084201
avl, delete, 1130074
splay, put, 154776
splay, delete, 170798
veb, put, 1846955
veb, delete, 23306
bst, put, 64365
bst, delete, 49257
avl, put, 2358395
avl, delete, 1102142
splay, put, 152505
splay, delete, 173615
veb, put, 1842123
veb, delete, 9247
bst, put, 53970
bst, delete, 45688
avl, put, 2279908
avl, delete, 1064032
splay, put, 143166
splay, delete, 173015
veb, put, 1845311
veb, delete, 9229
bst, put, 54153
bst, delete, 38321
avl, put, 2291180
avl, delete, 1074618
splay, put, 142341
splay, delete, 175783
veb, put, 1858813
veb, delete, 9107
bst, put, 54078
bst, delete, 30567
avl, put, 2278328
avl, delete, 1003313
splay, put, 144536
splay, delete, 174085
veb, put, 1841396
veb, delete, 14129
bst, put, 54054
bst, delete, 36195
avl, put, 2302774
avl, delete, 1076978
splay, put, 138377
splay, delete, 145783
veb, put, 1782917
veb, delete, 9092
bst, put, 57802
bst, delete, 24693
avl, put, 2260868
avl, delete, 1048960
splay, put, 142951
splay, delete, 171084
veb, put, 1855868
veb, delete, 9101
bst, put, 53184
bst, delete, 38688
avl, put, 2302445
avl, delete, 1212268
splay, put, 119129
splay, delete, 147846
veb, put, 1715409
veb, delete, 23156
bst, put, 44769
bst, delete, 42565
avl, put, 2144100
avl, delete, 1013794
splay, put, 152186
splay, delete, 174883
veb, put, 1832784
veb, delete, 14020
bst, put, 51427
bst, delete, 26462
avl, put, 2264479
avl, delete, 1069749
splay, put, 145336
splay, delete, 178590
veb, put, 1840095
veb, delete, 14110
bst, put, 52160
bst, delete, 44029
avl, put, 2278004
avl, delete, 613482
splay, put, 143900
splay, delete, 176503
veb, put, 1835478
veb, delete, 13992
bst, put, 54936
bst, delete, 48739
avl, put, 2282032
avl, delete, 972234
splay, put, 150364
splay, delete, 171213
veb, put, 1716749
veb, delete, 13901
bst, put, 56164
bst, delete, 29192
avl, put, 2187037
avl, delete, 731198
splay, put, 137809
splay, delete, 162726
veb, put, 1735905
veb, delete, 20180
bst, put, 56902
bst, delete, 42697
avl, put, 2281215
avl, delete, 1055315
splay, put, 146026
splay, delete, 175209
veb, put, 1830428
veb, delete, 7666
bst, put, 45229
bst, delete, 29326
avl, put, 2079085
avl, delete, 655793
splay, put, 122049
splay, delete, 144024
veb, put, 1735482
veb, delete, 7642
bst, put, 45040
bst, delete, 36037
avl, put, 1970135
avl, delete, 1171400
splay, put, 118847
splay, delete, 144291
veb, put, 1767264
veb, delete, 9102
bst, put, 55127
bst, delete, 34458
avl, put, 2027144
avl, delete, 745458
splay, put, 2373365
splay, delete, 307920
veb, put, 3188358
veb, delete, 16741
bst, put, 89424
bst, delete, 70799
avl, put, 3882248
avl, delete, 937834
splay, put, 145601
splay, delete, 175260
veb, put, 1879386
veb, delete, 14664
bst, put, 62199
bst, delete, 50899
avl, put, 2887294
avl, delete, 1162310
splay, put, 200704
splay, delete, 225030
veb, put, 1662615
veb, delete, 16637
bst, put, 69020
bst, delete, 44859
avl, put, 2939259
avl, delete, 822898
splay, put, 195801
splay, delete, 228926
veb, put, 1780127
veb, delete, 11579
bst, put, 87116
bst, delete, 42461
avl, put, 2853672
avl, delete, 1502646
splay, put, 191855
splay, delete, 213692
veb, put, 1870401
veb, delete, 11699
bst, put, 66957
bst, delete, 41101
avl, put, 3069539
avl, delete, 839810
splay, put, 204476
splay, delete, 222673
veb, put, 1761106
veb, delete, 11831
bst, put, 71821
bst, delete, 30433
avl, put, 2959808
avl, delete, 1279812
splay, put, 131119
splay, delete, 149853
veb, put, 1553162
veb, delete, 17213
bst, put, 46060
bst, delete, 32741
avl, put, 2237997
avl, delete, 669693
splay, put, 139011
splay, delete, 140352
veb, put, 1726659
veb, delete, 15931
bst, put, 44501
bst, delete, 28934
avl, put, 2130381
avl, delete, 849620
splay, put, 118124
splay, delete, 168467
veb, put, 1697144
veb, delete, 15898
bst, put, 59052
bst, delete, 42075
avl, put, 2290543
avl, delete, 1025116
splay, put, 144700
splay, delete, 180691
veb, put, 1832274
veb, delete, 11623
bst, put, 44915
bst, delete, 33065
avl, put, 2083603
avl, delete, 728453
splay, put, 118297
splay, delete, 144340
veb, put, 1772680
veb, delete, 7594
bst, put, 46320
bst, delete, 25633
avl, put, 2084590
avl, delete, 1012559
splay, put, 144062
splay, delete, 145163
veb, put, 1568423
veb, delete, 13704
bst, put, 55493
bst, delete, 37759
avl, put, 2200324
avl, delete, 519740
splay, put, 117788
splay, delete, 144636
veb, put, 1626649
veb, delete, 9052
bst, put, 55401
bst, delete, 32508
avl, put, 2179602
avl, delete, 491809
splay, put, 127980
splay, delete, 145151
veb, put, 1546691
veb, delete, 11700
bst, put, 45205
bst, delete, 33616
avl, put, 2066155
avl, delete, 390723
splay, put, 119229
splay, delete, 145924
veb, put, 1546506
veb, delete, 7649
bst, put, 42853
bst, delete, 36030
avl, put, 2084908
avl, delete, 1048274
splay, put, 116843
splay, delete, 141366
veb, put, 1550737
veb, delete, 7549
bst, put, 43570
bst, delete, 34302
avl, put, 1931313
avl, delete, 1051284
splay, put, 117495
splay, delete, 145767
veb, put, 1544355
veb, delete, 7590
bst, put, 45076
bst, delete, 38302
avl, put, 2204261
avl, delete, 606836
splay, put, 141974
splay, delete, 171981
veb, put, 1681636
veb, delete, 11713
bst, put, 43676
bst, delete, 26798
avl, put, 2121163
avl, delete, 1243416
splay, put, 121498
splay, delete, 142932
veb, put, 1723214
veb, delete, 7899
bst, put, 55441
bst, delete, 48139
avl, put, 2116938
avl, delete, 513091
splay, put, 151233
splay, delete, 166287
veb, put, 1716942
veb, delete, 11852
bst, put, 43223
bst, delete, 31557
avl, put, 1943264
avl, delete, 589931
splay, put, 141325
splay, delete, 169667
veb, put, 1794257
veb, delete, 8978
bst, put, 51874
bst, delete, 35585
avl, put, 2093903
avl, delete, 953590
splay, put, 142339
splay, delete, 171813
veb, put, 1588803
veb, delete, 7669
bst, put, 52775
bst, delete, 43614
avl, put, 2113603
avl, delete, 1077381
splay, put, 144724
splay, delete, 179803
veb, put, 1553897
veb, delete, 7701
bst, put, 46016
bst, delete, 41169
avl, put, 2091061
avl, delete, 1090753
splay, put, 140319
splay, delete, 167097
veb, put, 1554337
veb, delete, 7923
bst, put, 57218
bst, delete, 32375
avl, put, 2073441
avl, delete, 987211
splay, put, 142324
splay, delete, 174650
veb, put, 1614622
veb, delete, 9064
bst, put, 55500
bst, delete, 32215
avl, put, 2016985
avl, delete, 943251
splay, put, 141773
splay, delete, 170932
veb, put, 1545869
veb, delete, 7508
bst, put, 44298
bst, delete, 25952
avl, put, 1922094
avl, delete, 954313
splay, put, 139531
splay, delete, 169412
veb, put, 1651133
veb, delete, 13902
bst, put, 50733
bst, delete, 22590
avl, put, 2063595
avl, delete, 1202112
splay, put, 115767
splay, delete, 141847
veb, put, 1546015
veb, delete, 7637
bst, put, 51454
bst, delete, 23558
avl, put, 1916045
avl, delete, 830370
splay, put, 118063
splay, delete, 170443
veb, put, 1844339
veb, delete, 15999
bst, put, 43926
bst, delete, 36490
avl, put, 1958393
avl, delete, 979638
splay, put, 126087
splay, delete, 144203
veb, put, 1549763
veb, delete, 11936
bst, put, 52382
bst, delete, 37204
avl, put, 1891463
avl, delete, 978715
splay, put, 128222
splay, delete, 143623
veb, put, 1682188
veb, delete, 14030
bst, put, 52399
bst, delete, 51338
avl, put, 2086287
avl, delete, 555740
splay, put, 139641
splay, delete, 170930
veb, put, 1761553
veb, delete, 11736
bst, put, 42646
bst, delete, 33016
avl, put, 1930619
avl, delete, 602640
splay, put, 158076
splay, delete, 180503
veb, put, 1722930
veb, delete, 18718
bst, put, 55700
bst, delete, 42634
avl, put, 2474433
avl, delete, 1290544
splay, put, 141811
splay, delete, 178106
veb, put, 1852890
veb, delete, 9346
bst, put, 54144
bst, delete, 46090
avl, put, 2325001
avl, delete, 978692
splay, put, 142274
splay, delete, 176297
veb, put, 1859385
veb, delete, 14029
bst, put, 54600
bst, delete, 38236
avl, put, 2306992
avl, delete, 1309638
splay, put, 140892
splay, delete, 170096
veb, put, 1839081
veb, delete, 13908
bst, put, 52102
bst, delete, 42387
avl, put, 2254702
avl, delete, 712970
splay, put, 175989
splay, delete, 175254
veb, put, 1831811
veb, delete, 9128
bst, put, 57320
bst, delete, 44754
avl, put, 2285765
avl, delete, 1066032
splay, put, 138706
splay, delete, 177927
veb, put, 1852165
veb, delete, 9398
bst, put, 54081
bst, delete, 22526
avl, put, 2284323
avl, delete, 1056653
splay, put, 151073
splay, delete, 179724
veb, put, 1849805
veb, delete, 9357
bst, put, 54715
bst, delete, 31610
avl, put, 2287216
avl, delete, 761557
splay, put, 146404
splay, delete, 173723
veb, put, 1837662
veb, delete, 14036
bst, put, 54090
bst, delete, 50725
avl, put, 2305482
avl, delete, 940099
splay, put, 139363
splay, delete, 167283
veb, put, 1847409
veb, delete, 9120
bst, put, 51960
bst, delete, 36712
avl, put, 2301402
avl, delete, 1157663
splay, put, 143395
splay, delete, 173327
veb, put, 1851067
veb, delete, 9058
bst, put, 57347
bst, delete, 43504
avl, put, 2251369
avl, delete, 1354962
splay, put, 117697
splay, delete, 145129
veb, put, 1547134
veb, delete, 11688
bst, put, 44043
bst, delete, 19379
avl, put, 2277060
avl, delete, 1020401
splay, put, 151248
splay, delete, 171269
veb, put, 1824132
veb, delete, 13862
bst, put, 50705
bst, delete, 33123
avl, put, 2296057
avl, delete, 1236122
splay, put, 141504
splay, delete, 163030
veb, put, 1724014
veb, delete, 7570
bst, put, 45157
bst, delete, 25992
avl, put, 2175825
avl, delete, 602100
splay, put, 117656
splay, delete, 142556
veb, put, 1716502
veb, delete, 7555
bst, put, 46866
bst, delete, 34946
avl, put, 2150437
avl, delete, 701643
splay, put, 117765
splay, delete, 143877
veb, put, 1551430
veb, delete, 7539
bst, put, 44504
bst, delete, 20998
avl, put, 2286454
avl, delete, 793308
splay, put, 120555
splay, delete, 147337
veb, put, 1669768
veb, delete, 13929
bst, put, 52234
bst, delete, 43475
avl, put, 2065352
avl, delete, 570764
splay, put, 118046
splay, delete, 144387
veb, put, 1723303
veb, delete, 7583
bst, put, 43534
bst, delete, 30017
avl, put, 2130400
avl, delete, 839411
splay, put, 120212
splay, delete, 139431
veb, put, 1582767
veb, delete, 13760
bst, put, 55131
bst, delete, 44952
avl, put, 2213919
avl, delete, 1211568
splay, put, 129858
splay, delete, 145209
veb, put, 1719654
veb, delete, 15743
bst, put, 45227
bst, delete, 20222
avl, put, 2093592
avl, delete, 840735
splay, put, 118392
splay, delete, 143407
veb, put, 1558144
veb, delete, 11674
bst, put, 45279
bst, delete, 27174
avl, put, 2097003
avl, delete, 866840
splay, put, 143821
splay, delete, 142519
veb, put, 1717613
veb, delete, 15662
bst, put, 45050
bst, delete, 31539
avl, put, 2128126
avl, delete, 758799
splay, put, 121805
splay, delete, 148580
veb, put, 1621125
veb, delete, 9058
bst, put, 51690
bst, delete, 39829
avl, put, 2111100
avl, delete, 666291
splay, put, 117743
splay, delete, 144292
veb, put, 1546953
veb, delete, 7552
bst, put, 44465
bst, delete, 27766
avl, put, 2249542
avl, delete, 958557
splay, put, 118967
splay, delete, 144164
veb, put, 1550898
veb, delete, 7565
bst, put, 44559
bst, delete, 31821
avl, put, 2044975
avl, delete, 923425
splay, put, 117445
splay, delete, 145491
veb, put, 1663287
veb, delete, 9070
bst, put, 52877
bst, delete, 32038
avl, put, 2167566
avl, delete, 749664
splay, put, 143717
splay, delete, 141878
veb, put, 1550614
veb, delete, 7694
bst, put, 47033
bst, delete, 29719
avl, put, 2035762
avl, delete, 1179680
splay, put, 120432
splay, delete, 145643
veb, put, 1546275
veb, delete, 7576
bst, put, 52718
bst, delete, 28845
avl, put, 2111473
avl, delete, 849311
splay, put, 141281
splay, delete, 159142
veb, put, 1719025
veb, delete, 7626
bst, put, 42727
bst, delete, 26586
avl, put, 2015645
avl, delete, 1051292
splay, put, 141878
splay, delete, 182921
veb, put, 1628360
veb, delete, 22521
bst, put, 54844
bst, delete, 39567
avl, put, 2261154
avl, delete, 990471
splay, put, 145793
splay, delete, 176714
veb, put, 1599010
veb, delete, 7588
bst, put, 47896
bst, delete, 33642
avl, put, 2081453
avl, delete, 942355
splay, put, 140926
splay, delete, 168445
veb, put, 1553194
veb, delete, 11606
bst, put, 61272
bst, delete, 34670
avl, put, 2230151
avl, delete, 859788
splay, put, 140275
splay, delete, 161945
veb, put, 1546442
veb, delete, 7637
bst, put, 48263
bst, delete, 32828
avl, put, 2054948
avl, delete, 772871
splay, put, 138800
splay, delete, 167481
veb, put, 1675471
veb, delete, 13831
bst, put, 55088
bst, delete, 41785
avl, put, 2101520
avl, delete, 895298
splay, put, 141765
splay, delete, 170878
veb, put, 1574764
veb, delete, 11562
bst, put, 44795
bst, delete, 30210
avl, put, 2040429
avl, delete, 1166206
splay, put, 142769
splay, delete, 169812
veb, put, 1615077
veb, delete, 8942
bst, put, 53048
bst, delete, 38456
avl, put, 2116191
avl, delete, 962218
splay, put, 140808
splay, delete, 170495
veb, put, 1716529
veb, delete, 13728
bst, put, 55243
bst, delete, 30810
avl, put, 2220579
avl, delete, 958453
splay, put, 126610
splay, delete, 159438
veb, put, 1717112
veb, delete, 7537
bst, put, 45957
bst, delete, 32062
avl, put, 2096183
avl, delete, 972798
splay, put, 118536
splay, delete, 143452
veb, put, 1742101
veb, delete, 11716
bst, put, 45212
bst, delete, 24904
avl, put, 2273837
avl, delete, 1059557
splay, put, 118950
splay, delete, 144042
veb, put, 1833077
veb, delete, 13750
bst, put, 58430
bst, delete, 29677
avl, put, 2276657
avl, delete, 921222
splay, put, 122602
splay, delete, 142902
veb, put, 1549758
veb, delete, 11758
bst, put, 54727
bst, delete, 38836
avl, put, 2068482
avl, delete, 1181037
splay, put, 139189
splay, delete, 170420
veb, put, 1608998
veb, delete, 11706
bst, put, 46775
bst, delete, 40207
avl, put, 2087983
avl, delete, 938523
splay, put, 145482
splay, delete, 152076
veb, put, 1547131
veb, delete, 11705
bst, put, 44295
bst, delete, 20342
avl, put, 2093225
avl, delete, 1037259
splay, put, 143332
splay, delete, 169399
veb, put, 1578145
veb, delete, 11588
bst, put, 47755
bst, delete, 30788
avl, put, 2079760
avl, delete, 709791
splay, put, 123282
splay, delete, 147077
veb, put, 1750724
veb, delete, 13704
bst, put, 53534
bst, delete, 48525
avl, put, 2244411
avl, delete, 1053798
splay, put, 154772
splay, delete, 147641
veb, put, 1715276
veb, delete, 9079
bst, put, 65083
bst, delete, 43894
avl, put, 2173459
avl, delete, 1195658
splay, put, 140404
splay, delete, 172736
veb, put, 1844193
veb, delete, 9009
bst, put, 53140
bst, delete, 28723
avl, put, 2241338
avl, delete, 795300
splay, put, 145300
splay, delete, 174199
veb, put, 1836975
veb, delete, 18803
bst, put, 57320
bst, delete, 31666
avl, put, 2284703
avl, delete, 752061
splay, put, 141223
splay, delete, 171232
veb, put, 1840957
veb, delete, 22514
bst, put, 54962
bst, delete, 44102
avl, put, 2289972
avl, delete, 988967
splay, put, 142688
splay, delete, 171633
veb, put, 1843364
veb, delete, 8989
bst, put, 54457
bst, delete, 34560
avl, put, 2259320
avl, delete, 813888
splay, put, 143479
splay, delete, 172790
veb, put, 1833791
veb, delete, 13815
bst, put, 55905
bst, delete, 34240
avl, put, 2312396
avl, delete, 997641
splay, put, 141309
splay, delete, 242373
veb, put, 1910934
veb, delete, 17914
bst, put, 55301
bst, delete, 39433
avl, put, 2274510
avl, delete, 851332
splay, put, 162373
splay, delete, 180926
veb, put, 1666822
veb, delete, 8332
bst, put, 49840
bst, delete, 18937
avl, put, 1955740
avl, delete, 764784
splay, put, 143869
splay, delete, 187289
veb, put, 1843914
veb, delete, 9275
bst, put, 53794
bst, delete, 41365
avl, put, 2463478
avl, delete, 888286
splay, put, 156697
splay, delete, 181686
veb, put, 1967430
veb, delete, 11680
bst, put, 69196
bst, delete, 42950
avl, put, 2817242
avl, delete, 957735
splay, put, 184596
splay, delete, 221465
veb, put, 1931615
veb, delete, 11291
bst, put, 60457
bst, delete, 52047
avl, put, 2762975
avl, delete, 1214766
splay, put, 196583
splay, delete, 232758
veb, put, 1758425
veb, delete, 14539
bst, put, 69109
bst, delete, 50913
avl, put, 2952148
avl, delete, 1308878
splay, put, 188359
splay, delete, 212538
veb, put, 1899129
veb, delete, 20996
bst, put, 66401
bst, delete, 57544
avl, put, 2650954
avl, delete, 1197481
splay, put, 154051
splay, delete, 182119
veb, put, 1857997
veb, delete, 9790
bst, put, 54665
bst, delete, 32132
avl, put, 2339838
avl, delete, 1372578
splay, put, 146130
splay, delete, 175413
veb, put, 1857729
veb, delete, 14306
bst, put, 57408
bst, delete, 28734
avl, put, 2321049
avl, delete, 779187
splay, put, 143175
splay, delete, 165136
veb, put, 1655267
veb, delete, 19105
bst, put, 57983
bst, delete, 45865
avl, put, 2132554
avl, delete, 786725
splay, put, 120467
splay, delete, 147351
veb, put, 1573429
veb, delete, 7879
bst, put, 43710
bst, delete, 28386
avl, put, 2040059
avl, delete, 910562
splay, put, 121083
splay, delete, 149398
veb, put, 1639587
veb, delete, 9088
bst, put, 58010
bst, delete, 40780
avl, put, 2237864
avl, delete, 1303420
splay, put, 118911
splay, delete, 140514
veb, put, 1728892
veb, delete, 7590
bst, put, 46725
bst, delete, 31290
avl, put, 2173976
avl, delete, 1017381
splay, put, 122505
splay, delete, 143434
veb, put, 1744016
veb, delete, 11913
bst, put, 57786
bst, delete, 35819
avl, put, 2061169
avl, delete, 625381
splay, put, 118786
splay, delete, 145566
veb, put, 1717586
veb, delete, 11686
bst, put, 47459
bst, delete, 31449
avl, put, 2260397
avl, delete, 1097697
splay, put, 149435
splay, delete, 171340
veb, put, 1651765
veb, delete, 17539
bst, put, 53873
bst, delete, 36323
